Instance,SBS_Prediction
71,0.8663247169963302
129,0.8251390279176922
22,0.8473424090726378
183,0.8284562637880728
429,0.8367255216438287
64,0.8469349385864681
481,0.8650396476975069
241,0.8544705901521867
281,0.8611745540956864
84,0.8622177230884844
161,0.8388914863004456
103,0.847178544943932
209,0.842826218014393
206,0.8545985096958227
244,0.8604224960560051
336,0.8501981690962342
331,0.8433549867181924
0,0.8703905521187054
261,0.8548335308456534
504,0.8555002763385589
407,0.8551660491743965
440,0.8767819251642172
230,0.8376781320721639
430,0.8654715501903857
A,0.8666317443419141
357,0.8518743175593002
202,0.8556734447615278
345,0.8585549758245373
232,0.8560103709267274
127,0.8455704443221654
20,0.875280246949484
387,0.8742420497064426
67,0.8541095763202925
502,0.8597180118714063
94,0.8530801828597231
74,0.8534652849838121
23,0.8617826402697463
156,0.8546566130260177
394,0.859106494406489
121,0.8572103842098794
242,0.8653436597352758
80,0.8558811180539133
11,0.8486738293163079
59,0.8480908359050956
179,0.8482982141255789
427,0.8598621243724743
340,0.8585896655555847
137,0.8652963779352971
366,0.845675402182447
322,0.8720200156291839
81,0.8601079083193455
237,0.8569094977151795
69,0.8508046918052153
239,0.8613552314636251
497,0.8464670559848254
496,0.8597717547312442
