r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0952148774,0.0968839119,0.1013274957,0.0950965229,0.0942912223,0.0848358467
50%,0.0923369539,0.1039632327,0.0926523921,0.0993297535,0.0969151303,0.0894522308
25%,0.1015286945,0.0974142937,0.0942014729,0.1116368675,0.0989261434,0.0928255723
10%,0.0931475316,0.1066511399,0.1121538547,0.1084085631,0.0964470065,0.0965225166
5%,0.0943473641,0.1048359855,0.1144718711,0.110195392,0.1000285487,0.0951518982
