r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,4.1776e-06,4.0514e-06,4.3095e-06,3.5367e-06,3.8122e-06,0.0000036487
50%,3.7581e-06,4.2018e-06,4.1475e-06,3.7954e-06,3.7244e-06,0.0000041479
25%,4.2094e-06,3.8783e-06,3.4557e-06,4.3906e-06,3.8566e-06,0.0000039172
10%,4.0112e-06,3.9694e-06,4.1838e-06,4.0531e-06,3.7866e-06,0.0000041692
5%,4.0846e-06,4.1465e-06,4.2435e-06,4.3767e-06,4.0011e-06,0.0000038292
