Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 28470 | GridSize: 300
Generation 2 | Revalues: 33170 | GridSize: 292
Generation 3 | Revalues: 35630 | GridSize: 300
Generation 4 | Revalues: 38360 | GridSize: 300
Generation 5 | Revalues: 40650 | GridSize: 300
Generation 6 | Revalues: 42930 | GridSize: 297
Generation 7 | Revalues: 45370 | GridSize: 300
Generation 8 | Revalues: 46740 | GridSize: 299
Generation 9 | Revalues: 50130 | GridSize: 300
Generation 10 | Revalues: 51780 | GridSize: 300
Generation 11 | Revalues: 53420 | GridSize: 298
Generation 12 | Revalues: 55100 | GridSize: 300
Generation 13 | Revalues: 58890 | GridSize: 300
Generation 14 | Revalues: 61750 | GridSize: 299
Generation 15 | Revalues: 65040 | GridSize: 296
Generation 16 | Revalues: 66910 | GridSize: 295
Generation 17 | Revalues: 68330 | GridSize: 299
Generation 18 | Revalues: 70030 | GridSize: 300
Generation 19 | Revalues: 72110 | GridSize: 300
Generation 20 | Revalues: 73860 | GridSize: 300
Generation 21 | Revalues: 75400 | GridSize: 299
Generation 22 | Revalues: 76890 | GridSize: 300
Generation 23 | Revalues: 78190 | GridSize: 300
Generation 24 | Revalues: 79460 | GridSize: 300
Generation 25 | Revalues: 80680 | GridSize: 300
Generation 26 | Revalues: 82090 | GridSize: 300
Generation 27 | Revalues: 83880 | GridSize: 300
Generation 28 | Revalues: 85420 | GridSize: 300
Generation 29 | Revalues: 87330 | GridSize: 299
Generation 30 | Revalues: 88620 | GridSize: 300
Generation 31 | Revalues: 90370 | GridSize: 300
Generation 32 | Revalues: 91460 | GridSize: 300
Generation 33 | Revalues: 92750 | GridSize: 299
Generation 34 | Revalues: 94090 | GridSize: 300
Generation 35 | Revalues: 95400 | GridSize: 297
Generation 36 | Revalues: 97220 | GridSize: 300
Generation 37 | Revalues: 98480 | GridSize: 300
Generation 38 | Revalues: 99790 | GridSize: 299
Generation 39 | Revalues: 101070 | GridSize: 300
Generation 40 | Revalues: 102560 | GridSize: 300
Generation 41 | Revalues: 103680 | GridSize: 300
Generation 42 | Revalues: 105410 | GridSize: 300
Generation 43 | Revalues: 106730 | GridSize: 300
Generation 44 | Revalues: 107850 | GridSize: 300
Generation 45 | Revalues: 109310 | GridSize: 298
Generation 46 | Revalues: 110360 | GridSize: 299
Generation 47 | Revalues: 111880 | GridSize: 300
Generation 48 | Revalues: 113810 | GridSize: 300
Generation 49 | Revalues: 115310 | GridSize: 298
Generation 50 | Revalues: 116800 | GridSize: 300
Generation 51 | Revalues: 117950 | GridSize: 300
Generation 52 | Revalues: 119260 | GridSize: 300
Generation 53 | Revalues: 120450 | GridSize: 299
Generation 54 | Revalues: 122200 | GridSize: 300
Generation 55 | Revalues: 123410 | GridSize: 298
Generation 56 | Revalues: 124830 | GridSize: 297
Generation 57 | Revalues: 126190 | GridSize: 300
Generation 58 | Revalues: 127350 | GridSize: 300
Generation 59 | Revalues: 128680 | GridSize: 300
Generation 60 | Revalues: 129980 | GridSize: 300
Generation 61 | Revalues: 131350 | GridSize: 300
Generation 62 | Revalues: 132560 | GridSize: 300
Generation 63 | Revalues: 133620 | GridSize: 300
Generation 64 | Revalues: 134960 | GridSize: 300
Generation 65 | Revalues: 136030 | GridSize: 300
Generation 66 | Revalues: 137650 | GridSize: 299
Generation 67 | Revalues: 138750 | GridSize: 299
Generation 68 | Revalues: 140150 | GridSize: 300
Generation 69 | Revalues: 141260 | GridSize: 300
Generation 70 | Revalues: 142400 | GridSize: 300
Generation 71 | Revalues: 143530 | GridSize: 300
Generation 72 | Revalues: 144630 | GridSize: 299
Generation 73 | Revalues: 145650 | GridSize: 300
Generation 74 | Revalues: 146740 | GridSize: 300
Generation 75 | Revalues: 148230 | GridSize: 298
Generation 76 | Revalues: 149450 | GridSize: 300
Generation 77 | Revalues: 150580 | GridSize: 300
Generation 78 | Revalues: 152070 | GridSize: 300
Generation 79 | Revalues: 153740 | GridSize: 300
Generation 80 | Revalues: 154830 | GridSize: 300
Generation 81 | Revalues: 155890 | GridSize: 300
Generation 82 | Revalues: 157660 | GridSize: 299
Generation 83 | Revalues: 158710 | GridSize: 299
Generation 84 | Revalues: 160090 | GridSize: 300
Generation 85 | Revalues: 161180 | GridSize: 300
Generation 86 | Revalues: 162410 | GridSize: 300
Generation 87 | Revalues: 163550 | GridSize: 300
Generation 88 | Revalues: 164690 | GridSize: 300
Generation 89 | Revalues: 166030 | GridSize: 300
Generation 90 | Revalues: 167100 | GridSize: 300
Generation 91 | Revalues: 168310 | GridSize: 300
Generation 92 | Revalues: 169430 | GridSize: 300
Generation 93 | Revalues: 170530 | GridSize: 300
Generation 94 | Revalues: 171690 | GridSize: 297
Generation 95 | Revalues: 172860 | GridSize: 300
Generation 96 | Revalues: 173920 | GridSize: 300
Generation 97 | Revalues: 175200 | GridSize: 300
Generation 98 | Revalues: 176400 | GridSize: 300
Generation 99 | Revalues: 177690 | GridSize: 300
Generation 100 | Revalues: 178890 | GridSize: 300
Generation 101 | Revalues: 180150 | GridSize: 294
Generation 102 | Revalues: 181380 | GridSize: 300
Generation 103 | Revalues: 182780 | GridSize: 300
Generation 104 | Revalues: 183960 | GridSize: 300
Generation 105 | Revalues: 185060 | GridSize: 300
Generation 106 | Revalues: 186290 | GridSize: 300
Generation 107 | Revalues: 187310 | GridSize: 300
Generation 108 | Revalues: 188500 | GridSize: 300
Generation 109 | Revalues: 189560 | GridSize: 300
Generation 110 | Revalues: 190650 | GridSize: 300
Generation 111 | Revalues: 191730 | GridSize: 300
Generation 112 | Revalues: 192930 | GridSize: 300
Generation 113 | Revalues: 194090 | GridSize: 300
Generation 114 | Revalues: 195180 | GridSize: 299
Generation 115 | Revalues: 196300 | GridSize: 300
Generation 116 | Revalues: 197450 | GridSize: 296
Generation 117 | Revalues: 198540 | GridSize: 300
Generation 118 | Revalues: 199720 | GridSize: 300
Generation 119 | Revalues: 200810 | GridSize: 299
Generation 120 | Revalues: 201930 | GridSize: 300
Generation 121 | Revalues: 203260 | GridSize: 300
Generation 122 | Revalues: 204330 | GridSize: 300
Generation 123 | Revalues: 205550 | GridSize: 300
Generation 124 | Revalues: 206620 | GridSize: 300
Generation 125 | Revalues: 207680 | GridSize: 300
Generation 126 | Revalues: 208690 | GridSize: 300
Generation 127 | Revalues: 209740 | GridSize: 299
Generation 128 | Revalues: 210960 | GridSize: 300
Generation 129 | Revalues: 212030 | GridSize: 300
Generation 130 | Revalues: 213100 | GridSize: 300
Generation 131 | Revalues: 214160 | GridSize: 300
Generation 132 | Revalues: 215180 | GridSize: 300
Generation 133 | Revalues: 216450 | GridSize: 299
Generation 134 | Revalues: 217520 | GridSize: 300
Generation 135 | Revalues: 218590 | GridSize: 298
Generation 136 | Revalues: 219910 | GridSize: 300
Generation 137 | Revalues: 221360 | GridSize: 299
Generation 138 | Revalues: 222400 | GridSize: 300
Generation 139 | Revalues: 223490 | GridSize: 300
Generation 140 | Revalues: 224600 | GridSize: 300
Generation 141 | Revalues: 225670 | GridSize: 300
Generation 142 | Revalues: 226940 | GridSize: 299
Generation 143 | Revalues: 227970 | GridSize: 300
Generation 144 | Revalues: 229110 | GridSize: 300
Generation 145 | Revalues: 230190 | GridSize: 300
Generation 146 | Revalues: 231320 | GridSize: 300
Generation 147 | Revalues: 232450 | GridSize: 295
Generation 148 | Revalues: 233520 | GridSize: 300
Generation 149 | Revalues: 234700 | GridSize: 300
Generation 150 | Revalues: 235900 | GridSize: 300
Generation 151 | Revalues: 237080 | GridSize: 300
Generation 152 | Revalues: 238230 | GridSize: 300
Generation 153 | Revalues: 239350 | GridSize: 298
Generation 154 | Revalues: 240490 | GridSize: 300
Generation 155 | Revalues: 241550 | GridSize: 300
Generation 156 | Revalues: 242590 | GridSize: 299
Generation 157 | Revalues: 243830 | GridSize: 300
Generation 158 | Revalues: 244840 | GridSize: 300
Generation 159 | Revalues: 245890 | GridSize: 300
Generation 160 | Revalues: 247070 | GridSize: 299
Generation 161 | Revalues: 248170 | GridSize: 300
Generation 162 | Revalues: 249250 | GridSize: 300
Generation 163 | Revalues: 250410 | GridSize: 300
Generation 164 | Revalues: 251530 | GridSize: 299
Generation 165 | Revalues: 252570 | GridSize: 300
Generation 166 | Revalues: 253630 | GridSize: 300
Generation 167 | Revalues: 254920 | GridSize: 300
Generation 168 | Revalues: 256170 | GridSize: 300
Generation 169 | Revalues: 257190 | GridSize: 300
Generation 170 | Revalues: 258190 | GridSize: 300
Generation 171 | Revalues: 259260 | GridSize: 298
Generation 172 | Revalues: 260330 | GridSize: 300
Generation 173 | Revalues: 261400 | GridSize: 300
Generation 174 | Revalues: 262620 | GridSize: 300
Generation 175 | Revalues: 263720 | GridSize: 300
Generation 176 | Revalues: 264800 | GridSize: 300
Generation 177 | Revalues: 265810 | GridSize: 300
Generation 178 | Revalues: 266910 | GridSize: 300
Generation 179 | Revalues: 268030 | GridSize: 300
Generation 180 | Revalues: 269160 | GridSize: 300
Generation 181 | Revalues: 270160 | GridSize: 300
Generation 182 | Revalues: 271400 | GridSize: 300
Generation 183 | Revalues: 272470 | GridSize: 300
Generation 184 | Revalues: 273560 | GridSize: 300
Generation 185 | Revalues: 274580 | GridSize: 300
Generation 186 | Revalues: 275750 | GridSize: 299
Generation 187 | Revalues: 276780 | GridSize: 300
Generation 188 | Revalues: 277800 | GridSize: 300
Generation 189 | Revalues: 278950 | GridSize: 300
Generation 190 | Revalues: 280070 | GridSize: 300
Generation 191 | Revalues: 281170 | GridSize: 299
Generation 192 | Revalues: 282310 | GridSize: 300
Generation 193 | Revalues: 283370 | GridSize: 300
Generation 194 | Revalues: 284480 | GridSize: 299
Generation 195 | Revalues: 285520 | GridSize: 300
Generation 196 | Revalues: 286540 | GridSize: 300
Generation 197 | Revalues: 287630 | GridSize: 300
Generation 198 | Revalues: 288660 | GridSize: 300
Generation 199 | Revalues: 289710 | GridSize: 300
Generation 200 | Revalues: 290840 | GridSize: 298
Generation 201 | Revalues: 291970 | GridSize: 299
Generation 202 | Revalues: 293010 | GridSize: 299
Generation 203 | Revalues: 294080 | GridSize: 300
Generation 204 | Revalues: 295210 | GridSize: 300
Generation 205 | Revalues: 296320 | GridSize: 299
Generation 206 | Revalues: 297380 | GridSize: 300
Generation 207 | Revalues: 298550 | GridSize: 300
Generation 208 | Revalues: 299720 | GridSize: 300
Generation 209 | Revalues: 300850 | GridSize: 300
Generation 210 | Revalues: 301850 | GridSize: 300
Generation 211 | Revalues: 302910 | GridSize: 300
Generation 212 | Revalues: 303990 | GridSize: 300
Generation 213 | Revalues: 305070 | GridSize: 300
Generation 214 | Revalues: 306190 | GridSize: 300
Generation 215 | Revalues: 307260 | GridSize: 300
Generation 216 | Revalues: 308280 | GridSize: 300
Generation 217 | Revalues: 309380 | GridSize: 300
Generation 218 | Revalues: 310420 | GridSize: 300
Generation 219 | Revalues: 311430 | GridSize: 300
Generation 220 | Revalues: 312440 | GridSize: 300
Generation 221 | Revalues: 313570 | GridSize: 300
Generation 222 | Revalues: 314830 | GridSize: 300
Generation 223 | Revalues: 315900 | GridSize: 299
Generation 224 | Revalues: 316930 | GridSize: 300
Generation 225 | Revalues: 318060 | GridSize: 300
Generation 226 | Revalues: 319060 | GridSize: 300
Generation 227 | Revalues: 320210 | GridSize: 300
Generation 228 | Revalues: 321360 | GridSize: 300
Generation 229 | Revalues: 322390 | GridSize: 300
Generation 230 | Revalues: 323470 | GridSize: 299
Generation 231 | Revalues: 324510 | GridSize: 300
Generation 232 | Revalues: 325510 | GridSize: 300
Generation 233 | Revalues: 326590 | GridSize: 300
Generation 234 | Revalues: 327750 | GridSize: 300
Generation 235 | Revalues: 328760 | GridSize: 300
Generation 236 | Revalues: 329790 | GridSize: 300
Generation 237 | Revalues: 330840 | GridSize: 300
Generation 238 | Revalues: 332030 | GridSize: 300
Generation 239 | Revalues: 333170 | GridSize: 300
Generation 240 | Revalues: 334200 | GridSize: 300
Generation 241 | Revalues: 335340 | GridSize: 300
Generation 242 | Revalues: 336500 | GridSize: 300
Generation 243 | Revalues: 337520 | GridSize: 300
Generation 244 | Revalues: 338590 | GridSize: 300
Generation 245 | Revalues: 339600 | GridSize: 300
Generation 246 | Revalues: 340630 | GridSize: 300
Generation 247 | Revalues: 341800 | GridSize: 300
Generation 248 | Revalues: 342870 | GridSize: 300
Generation 249 | Revalues: 343960 | GridSize: 300
Generation 250 | Revalues: 345090 | GridSize: 300
Generation 251 | Revalues: 346270 | GridSize: 300
Generation 252 | Revalues: 347380 | GridSize: 300
Generation 253 | Revalues: 348530 | GridSize: 300
Generation 254 | Revalues: 349570 | GridSize: 300
Generation 255 | Revalues: 350680 | GridSize: 300
Generation 256 | Revalues: 351710 | GridSize: 300
Generation 257 | Revalues: 352830 | GridSize: 300
Generation 258 | Revalues: 353880 | GridSize: 299
Generation 259 | Revalues: 354910 | GridSize: 300
Generation 260 | Revalues: 356020 | GridSize: 300
Generation 261 | Revalues: 357140 | GridSize: 300
Generation 262 | Revalues: 358200 | GridSize: 300
Generation 263 | Revalues: 359210 | GridSize: 300
Generation 264 | Revalues: 360250 | GridSize: 300
Generation 265 | Revalues: 361300 | GridSize: 300
Generation 266 | Revalues: 362320 | GridSize: 300
Generation 267 | Revalues: 363370 | GridSize: 300
Generation 268 | Revalues: 364410 | GridSize: 300
Generation 269 | Revalues: 365590 | GridSize: 300
Generation 270 | Revalues: 366610 | GridSize: 300
Generation 271 | Revalues: 367630 | GridSize: 300
Generation 272 | Revalues: 368700 | GridSize: 300
Generation 273 | Revalues: 369830 | GridSize: 300
Generation 274 | Revalues: 370900 | GridSize: 300
Generation 275 | Revalues: 371970 | GridSize: 300
Generation 276 | Revalues: 372970 | GridSize: 300
Generation 277 | Revalues: 374140 | GridSize: 300
Generation 278 | Revalues: 375150 | GridSize: 300
Generation 279 | Revalues: 376280 | GridSize: 300
Generation 280 | Revalues: 377300 | GridSize: 300
Generation 281 | Revalues: 378390 | GridSize: 300
Generation 282 | Revalues: 379540 | GridSize: 300
Generation 283 | Revalues: 380620 | GridSize: 300
Generation 284 | Revalues: 381620 | GridSize: 300
Generation 285 | Revalues: 382640 | GridSize: 300
Generation 286 | Revalues: 383710 | GridSize: 298
Generation 287 | Revalues: 384750 | GridSize: 300
Generation 288 | Revalues: 385780 | GridSize: 299
Generation 289 | Revalues: 386920 | GridSize: 300
Generation 290 | Revalues: 387980 | GridSize: 300
Generation 291 | Revalues: 388990 | GridSize: 300
Generation 292 | Revalues: 390030 | GridSize: 300
Generation 293 | Revalues: 391030 | GridSize: 299
Generation 294 | Revalues: 392130 | GridSize: 300
Generation 295 | Revalues: 393220 | GridSize: 300
Generation 296 | Revalues: 394270 | GridSize: 300
Generation 297 | Revalues: 395280 | GridSize: 300
Generation 298 | Revalues: 396310 | GridSize: 300
Generation 299 | Revalues: 397420 | GridSize: 300
Generation 300 | Revalues: 398470 | GridSize: 300
Generation 301 | Revalues: 399490 | GridSize: 300
Generation 302 | Revalues: 400540 | GridSize: 300
Generation 303 | Revalues: 401560 | GridSize: 300
Generation 304 | Revalues: 402580 | GridSize: 300
Generation 305 | Revalues: 403670 | GridSize: 300
Generation 306 | Revalues: 404730 | GridSize: 300
Generation 307 | Revalues: 405810 | GridSize: 300
Generation 308 | Revalues: 406900 | GridSize: 300
Generation 309 | Revalues: 407910 | GridSize: 300
Generation 310 | Revalues: 408910 | GridSize: 300
Generation 311 | Revalues: 409910 | GridSize: 300
Generation 312 | Revalues: 410940 | GridSize: 300
Generation 313 | Revalues: 411960 | GridSize: 300
Generation 314 | Revalues: 413090 | GridSize: 300
Generation 315 | Revalues: 414400 | GridSize: 300
Generation 316 | Revalues: 415400 | GridSize: 300
Generation 317 | Revalues: 416490 | GridSize: 300
Generation 318 | Revalues: 417560 | GridSize: 299
Generation 319 | Revalues: 418680 | GridSize: 300
Generation 320 | Revalues: 419680 | GridSize: 300
Generation 321 | Revalues: 420700 | GridSize: 300
Generation 322 | Revalues: 421700 | GridSize: 300
Generation 323 | Revalues: 422770 | GridSize: 300
Generation 324 | Revalues: 423800 | GridSize: 300
Generation 325 | Revalues: 425000 | GridSize: 300
Generation 326 | Revalues: 426010 | GridSize: 300
Generation 327 | Revalues: 427020 | GridSize: 300
Generation 328 | Revalues: 428110 | GridSize: 300
Generation 329 | Revalues: 429140 | GridSize: 300
Generation 330 | Revalues: 430230 | GridSize: 300
Generation 331 | Revalues: 431300 | GridSize: 300
Generation 332 | Revalues: 432380 | GridSize: 300
Generation 333 | Revalues: 433380 | GridSize: 300
Generation 334 | Revalues: 434390 | GridSize: 300
Generation 335 | Revalues: 435460 | GridSize: 300
Generation 336 | Revalues: 436500 | GridSize: 300
Generation 337 | Revalues: 437500 | GridSize: 300
Generation 338 | Revalues: 438570 | GridSize: 300
Generation 339 | Revalues: 439650 | GridSize: 300
Generation 340 | Revalues: 440680 | GridSize: 300
Generation 341 | Revalues: 441700 | GridSize: 300
Generation 342 | Revalues: 442740 | GridSize: 300
Generation 343 | Revalues: 443780 | GridSize: 300
Generation 344 | Revalues: 444800 | GridSize: 298
Generation 345 | Revalues: 445830 | GridSize: 300
Generation 346 | Revalues: 446880 | GridSize: 300
Generation 347 | Revalues: 447910 | GridSize: 300
Generation 348 | Revalues: 449020 | GridSize: 300
Generation 349 | Revalues: 450020 | GridSize: 300
Generation 350 | Revalues: 451160 | GridSize: 300
Generation 351 | Revalues: 452180 | GridSize: 299
Generation 352 | Revalues: 453220 | GridSize: 300
Generation 353 | Revalues: 454250 | GridSize: 300
Generation 354 | Revalues: 455380 | GridSize: 298
Generation 355 | Revalues: 456420 | GridSize: 300
Generation 356 | Revalues: 457450 | GridSize: 300
Generation 357 | Revalues: 458470 | GridSize: 300
Generation 358 | Revalues: 459530 | GridSize: 299
Generation 359 | Revalues: 460650 | GridSize: 300
Generation 360 | Revalues: 461690 | GridSize: 300
Generation 361 | Revalues: 462760 | GridSize: 298
Generation 362 | Revalues: 463850 | GridSize: 300
Generation 363 | Revalues: 464930 | GridSize: 300
