Instance,AS_Prediction
71,0.8140603961270004
129,0.7315726416419001
22,0.7122979313341996
183,0.8824800416909078
429,0.7925964278104505
64,0.7866028786793001
481,0.8175391925681496
241,0.7916856011094001
281,0.7886941962765499
84,0.8090366531539999
161,0.7963530310025
103,0.7947500224748499
209,0.8028134661164498
206,0.7899450021557002
244,0.7986952084056
336,0.7973452140456999
331,0.7914992533040001
0,0.8013639969373
261,0.7955542598888
504,0.7819894572321497
407,0.7990032910432503
440,0.8003229024411
230,0.8104006455865498
430,0.7930958024092
A,0.7939127949570499
357,0.7877433838399004
202,0.7891642548878499
345,0.7915085930751004
232,0.7972941803991
127,0.7988627756914001
20,0.8013547099927998
387,0.7937619858250002
67,0.80149482455735
502,0.802288426779
94,0.8046973572105505
74,0.7832669168509497
23,0.8024989924080004
156,0.79921225935365
394,0.8052190373683998
121,0.8000742464344499
242,0.7914782470249002
80,0.7890044273977
11,0.7868425248730501
59,0.7841156131967999
179,0.7954545439854003
427,0.7886005946846991
340,0.8018604931319002
137,0.8024060243076496
366,0.7972803357511495
322,0.7948114465828999
81,0.8059820618822501
237,0.8030347125615002
69,0.79452931563095
239,0.7945017685332999
497,0.8056879014782998
