r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.818,0.862,0.903,0.961,1.099,0.947
50%,1.057,0.91,0.969,0.999,1.055,0.737
25%,0.747,1.134,0.989,1.094,1.115,1.047
10%,0.843,1.028,1.099,1.091,1.109,0.869
5%,0.904,1.069,1.082,1.158,1.094,1.149
