Feature,Importance
SUP_avg,0.2624070143361157
INC_avg,0.17582388071184013
INF_sd,0.10020326019889648
IND_r1,0.08571341459450003
IND_avg,0.062431298481334926
SUP_sd,0.05986229851538385
IND_sd,0.03851420320793942
INF_r1,0.02629585123390814
SUP_r1,0.025350599136761298
INF_kr,0.024713898427230655
INF_avg,0.020366763821487673
SUP_kr,0.018806010155080093
INC_kr,0.017890738273264283
INC_sk,0.0176698629739816
INC_r1,0.016495717071674108
INC_sd,0.013827921705236773
IND_kr,0.011279649162474733
IND_sk,0.009474766933437274
INF_sk,0.007767428401884351
SUP_sk,0.005105422657568181
