Instance,VBS_Prediction
71,0.8538399896697545
129,0.8115916934211596
22,0.8627413197765338
183,0.8132768722222095
429,0.8411771390647407
64,0.8453264560959245
481,0.866715745191452
241,0.8517609266117142
281,0.8618792259476709
84,0.8571396345909958
161,0.8448272211719124
103,0.8482461062705924
209,0.847054924903862
206,0.8499162553688816
244,0.8685867357576678
336,0.8500660360566625
331,0.8461740707153643
0,0.850745124129952
261,0.8447250994634046
504,0.8640605094878662
407,0.8440217691304365
440,0.8601081785322654
230,0.8463320694824165
430,0.8550958120114845
A,0.8511093450815753
357,0.8448397432843726
202,0.8546774033462387
345,0.8632457977570485
232,0.8642937591911675
127,0.8477966351732051
20,0.8579022314449505
387,0.861766137287609
67,0.8349362739454024
502,0.8366243325254109
94,0.8471599265858875
74,0.8482858673995394
23,0.8563336247291018
156,0.8507945078782656
394,0.8408387051194509
121,0.8482537489567434
242,0.8453730765128374
80,0.859444892661037
11,0.8461092011243888
59,0.8594545661058866
179,0.8511984140678779
427,0.8507544638873779
340,0.8450507190032043
137,0.8506898544154577
366,0.8627137839585
322,0.8516427668011651
81,0.8513969374888685
237,0.8543894008585202
69,0.8635912253713234
239,0.8527554627673264
497,0.8464996168511757
496,0.8280501538956103
