r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0006945812,0.0006630302,0.0007031457,0.0006669871,0.0007395923,0.0006431671
50%,0.0007200505,0.000681902,0.0007007395,0.0007091985,0.0007231318,0.0006537667
25%,0.0006746243,0.0007346997,0.0007336527,0.0008090198,0.0008633642,0.0006351857
10%,0.0006576174,0.0006751206,0.0007036328,0.0007789838,0.000777406,0.0006343961
5%,0.0005890758,0.0007478829,0.0008407009,0.0007459338,0.0008895803,0.0007963690
