r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,4.1107e-06,4.2518e-06,3.8292e-06,3.3482e-06,4.1109e-06,0.0000040220
50%,3.9393e-06,4.0996e-06,3.9331e-06,3.8646e-06,4.0916e-06,0.0000044390
25%,4.2723e-06,3.8307e-06,3.97e-06,3.7754e-06,3.8827e-06,0.0000043562
10%,3.8988e-06,4.4671e-06,3.9936e-06,4.3061e-06,4.4011e-06,0.0000039653
5%,4.2245e-06,3.9543e-06,4.0475e-06,3.8824e-06,4.0357e-06,0.0000043899
