r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0985043636,0.0956577319,0.0988803225,0.0908906262,0.1077458444,0.0884962585
50%,0.0917890902,0.1012991506,0.0922548568,0.0986331443,0.0995741903,0.0913857089
25%,0.0997738964,0.0947092777,0.09488902,0.1023446485,0.1050478798,0.0995756414
10%,0.0932610106,0.1086293666,0.1121154398,0.1017243641,0.109255556,0.0900200277
5%,0.1049756111,0.0963671337,0.1030818536,0.1002413288,0.0988313741,0.1043508234
