r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.9976014582,0.9978075603,0.9979872357,0.9980992105,0.997658091,0.9976108374
50%,0.9977538133,0.9975543804,0.9977016565,0.9977840723,0.9977145197,0.9973792867
25%,0.9976069401,0.9979276728,0.9978434379,0.9979620211,0.9977008954,0.9976649920
10%,0.9978861528,0.9974953384,0.9976963515,0.9976484671,0.9974423139,0.9978084412
5%,0.997524545,0.9977797079,0.9976515375,0.9978754144,0.9975552807,0.9975487243
