r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0020274769,0.0020619902,0.0019568371,0.0018298146,0.0020275248,0.0020055043
50%,0.0019847655,0.0020247567,0.0019832029,0.0019658608,0.0020227753,0.0021068964
25%,0.0020669574,0.0019572144,0.0019924773,0.0019430376,0.0019704463,0.0020871465
10%,0.0019745314,0.0021135628,0.0019983995,0.0020751102,0.0020978898,0.0019912980
5%,0.0020553604,0.0019885432,0.0020118518,0.0019703739,0.0020089093,0.0020951983
