r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0006586998,0.0006384472,0.0006641165,0.0006092748,0.000720041,0.0005964123
50%,0.0006203097,0.0006772171,0.0006226145,0.0006625611,0.0006721069,0.0006116215
25%,0.0006636809,0.0006389512,0.0006368069,0.0006851574,0.0007032366,0.0006631430
10%,0.0006228637,0.0007226727,0.000751609,0.0006798477,0.0007303115,0.0006062738
5%,0.0006996526,0.0006495036,0.0006910366,0.0006708275,0.0006626267,0.0006988486
