r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0966319971,0.1002038774,0.0973956802,0.0950180561,0.1012746256,0.0884537070
50%,0.0949098438,0.1001305902,0.0888091187,0.1017509927,0.1020815529,0.0893014665
25%,0.0978733416,0.1051136057,0.0962065112,0.1028673213,0.1151721706,0.0924509762
10%,0.0923890105,0.1017575153,0.1011543902,0.1047446552,0.0922679076,0.0929370424
5%,0.0975753453,0.1095312924,0.1063095375,0.1086669922,0.1012233263,0.0969779467
