r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0006850171,0.0007159757,0.0006925959,0.0006662971,0.0007899765,0.0006938323
50%,0.0007132139,0.0007613977,0.000658392,0.0007884261,0.0007354943,0.0006639134
25%,0.0005882193,0.0006891333,0.0006994665,0.0007618429,0.0008543553,0.0006590137
10%,0.0007107429,0.0006802736,0.0008068468,0.000787547,0.000891688,0.0006821719
5%,0.0005721858,0.0007442829,0.0007357411,0.0008020205,0.0007964238,0.0007473711
