r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0836230387,0.0877457473,0.0842640688,0.0813354873,0.0957816784,0.0848111851
50%,0.0870818805,0.0930089391,0.0804032822,0.0963233096,0.0898819219,0.0814399419
25%,0.0716493937,0.0836720936,0.0855010076,0.0927749481,0.1038546494,0.0806314264
10%,0.0870736226,0.0831639651,0.0984761357,0.0956441529,0.1084973822,0.0836043732
5%,0.0697588994,0.0904231537,0.0896368301,0.0973835564,0.0966782645,0.0906880076
