r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0794292557,0.0808899864,0.0898548333,0.0828602904,0.0940813907,0.0838284128
50%,0.0848287529,0.0878506551,0.0800800565,0.0815967772,0.097583562,0.0814294345
25%,0.0723940252,0.0873199487,0.0895331702,0.0979082855,0.1064199115,0.0822488238
10%,0.0846771549,0.0869825438,0.0899449126,0.0953635238,0.0985086677,0.0860514976
5%,0.0798512443,0.0930826359,0.0958117577,0.102014267,0.096358023,0.0960413917
