r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0037711458,0.0039186771,0.0037424363,0.0040967244,0.0040505752,0.0038970525
50%,0.0036909433,0.0040529706,0.0035823914,0.0035747074,0.004067013,0.0040161566
25%,0.0037980192,0.004043573,0.0038383427,0.0033467343,0.0040712474,0.0040840869
10%,0.0039884235,0.0038805445,0.0039555022,0.0039161194,0.0037064713,0.0041276133
5%,0.0039228155,0.0038022392,0.00385875,0.0036970704,0.0038508372,0.0040102226
