r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,1.42215e-05,1.5356e-05,1.40058e-05,1.67832e-05,1.64072e-05,0.0000151870
50%,1.36231e-05,1.64266e-05,1.28335e-05,1.27785e-05,1.65406e-05,0.0000161295
25%,1.4425e-05,1.63505e-05,1.47329e-05,1.12006e-05,1.65751e-05,0.0000166798
10%,1.59075e-05,1.50586e-05,1.5646e-05,1.5336e-05,1.37379e-05,0.0000170372
5%,1.53885e-05,1.4457e-05,1.489e-05,1.36683e-05,1.48289e-05,0.0000160819
