r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.796,0.994,0.881,1.013,1.114,0.967
50%,1.053,0.891,1.019,1.031,1.081,0.753
25%,0.812,1.162,0.995,1.172,1.17,1.01
10%,0.801,0.985,1.05,1.08,1.074,0.839
5%,0.99,1.077,1.103,1.157,1.088,1.098
