r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.77,0.777,0.86,0.774,0.827,0.717
50%,0.781,0.783,0.812,0.768,0.77,0.708
25%,0.648,0.892,0.782,0.774,0.776,0.739
10%,0.65,0.761,0.724,0.812,0.717,0.723
5%,0.718,0.774,0.733,0.801,0.79,0.86
