r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.9784707243,0.9760181704,0.9729123362,0.9804614253,0.9770217034,0.9823740826
50%,0.9776071964,0.9698119055,0.9840610756,0.9696720302,0.9780001247,0.9688273957
25%,0.9743658564,0.9807296391,0.97587308,0.9714974566,0.9750479956,0.9763094029
10%,0.9858225283,0.9784794082,0.9781766405,0.9739071032,0.9749686691,0.9819937451
5%,0.9834629969,0.9791669447,0.9687589979,0.9725359602,0.9766915088,0.9689605884
