r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0513528094,0.0607843472,0.057106115,0.0515494304,0.0562745754,0.0439551557
50%,0.051376182,0.0611123707,0.0490424328,0.0574798511,0.0505136734,0.0588303973
25%,0.0517868754,0.0536456018,0.0521151376,0.0597590549,0.0592922613,0.0547894591
10%,0.0452870457,0.0510923617,0.0476738922,0.0535526061,0.054678468,0.0450509556
5%,0.0443039959,0.0541648697,0.0589274873,0.0601378078,0.0554923752,0.0619592147
