Feature,Importance
INC_sd,0.15326884506520616
INC_sk,0.14316662942870956
INC_kr,0.12232929712816887
SUP_sk,0.08526217987765078
SUP_kr,0.08158649737892062
SUP_r1,0.0783752936060447
SUP_sd,0.05688835823077839
IND_avg,0.04306197730297253
INF_kr,0.04095754768001423
INF_sk,0.03452327922173899
INF_avg,0.03231536893757895
IND_sd,0.028273968604188914
SUP_avg,0.02778437371144947
IND_r1,0.01402447551234333
INC_avg,0.013334865540258051
INF_sd,0.013194935675517628
IND_kr,0.011021652847763953
IND_sk,0.009227709880800296
INC_r1,0.006963186156052245
INF_r1,0.004439558213842358
