Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 24450 | GridSize: 297
Generation 2 | Revalues: 26700 | GridSize: 300
Generation 3 | Revalues: 32130 | GridSize: 297
Generation 4 | Revalues: 34430 | GridSize: 297
Generation 5 | Revalues: 36650 | GridSize: 300
Generation 6 | Revalues: 38710 | GridSize: 300
Generation 7 | Revalues: 41050 | GridSize: 297
Generation 8 | Revalues: 42870 | GridSize: 300
Generation 9 | Revalues: 44510 | GridSize: 298
Generation 10 | Revalues: 45660 | GridSize: 300
Generation 11 | Revalues: 47700 | GridSize: 299
Generation 12 | Revalues: 50200 | GridSize: 300
Generation 13 | Revalues: 51900 | GridSize: 300
Generation 14 | Revalues: 53250 | GridSize: 300
Generation 15 | Revalues: 54460 | GridSize: 300
Generation 16 | Revalues: 55890 | GridSize: 299
Generation 17 | Revalues: 57020 | GridSize: 300
Generation 18 | Revalues: 58510 | GridSize: 300
Generation 19 | Revalues: 59990 | GridSize: 299
Generation 20 | Revalues: 62060 | GridSize: 298
Generation 21 | Revalues: 63430 | GridSize: 300
Generation 22 | Revalues: 64970 | GridSize: 300
Generation 23 | Revalues: 66490 | GridSize: 298
Generation 24 | Revalues: 67940 | GridSize: 300
Generation 25 | Revalues: 69060 | GridSize: 300
Generation 26 | Revalues: 70190 | GridSize: 299
Generation 27 | Revalues: 71570 | GridSize: 300
Generation 28 | Revalues: 73270 | GridSize: 298
Generation 29 | Revalues: 74530 | GridSize: 300
Generation 30 | Revalues: 75680 | GridSize: 300
Generation 31 | Revalues: 76730 | GridSize: 299
Generation 32 | Revalues: 77900 | GridSize: 300
Generation 33 | Revalues: 79150 | GridSize: 296
Generation 34 | Revalues: 80280 | GridSize: 300
Generation 35 | Revalues: 81620 | GridSize: 300
Generation 36 | Revalues: 82680 | GridSize: 300
Generation 37 | Revalues: 83800 | GridSize: 300
Generation 38 | Revalues: 85350 | GridSize: 299
Generation 39 | Revalues: 86600 | GridSize: 300
Generation 40 | Revalues: 87820 | GridSize: 300
Generation 41 | Revalues: 89040 | GridSize: 300
Generation 42 | Revalues: 90540 | GridSize: 300
Generation 43 | Revalues: 91680 | GridSize: 300
Generation 44 | Revalues: 92900 | GridSize: 300
Generation 45 | Revalues: 94110 | GridSize: 300
Generation 46 | Revalues: 95390 | GridSize: 299
Generation 47 | Revalues: 96640 | GridSize: 300
Generation 48 | Revalues: 97900 | GridSize: 300
Generation 49 | Revalues: 99240 | GridSize: 300
Generation 50 | Revalues: 100500 | GridSize: 300
Generation 51 | Revalues: 101560 | GridSize: 300
Generation 52 | Revalues: 102760 | GridSize: 299
Generation 53 | Revalues: 103850 | GridSize: 300
Generation 54 | Revalues: 105290 | GridSize: 300
Generation 55 | Revalues: 106340 | GridSize: 300
Generation 56 | Revalues: 107490 | GridSize: 299
Generation 57 | Revalues: 108790 | GridSize: 300
Generation 58 | Revalues: 110050 | GridSize: 299
Generation 59 | Revalues: 111390 | GridSize: 299
Generation 60 | Revalues: 112450 | GridSize: 299
Generation 61 | Revalues: 113730 | GridSize: 300
Generation 62 | Revalues: 114730 | GridSize: 300
Generation 63 | Revalues: 115780 | GridSize: 300
Generation 64 | Revalues: 117120 | GridSize: 300
Generation 65 | Revalues: 118250 | GridSize: 300
Generation 66 | Revalues: 119480 | GridSize: 300
Generation 67 | Revalues: 120770 | GridSize: 300
Generation 68 | Revalues: 121810 | GridSize: 300
Generation 69 | Revalues: 122990 | GridSize: 300
Generation 70 | Revalues: 124300 | GridSize: 298
Generation 71 | Revalues: 125470 | GridSize: 299
Generation 72 | Revalues: 126790 | GridSize: 300
Generation 73 | Revalues: 127990 | GridSize: 300
Generation 74 | Revalues: 129120 | GridSize: 300
Generation 75 | Revalues: 130120 | GridSize: 300
Generation 76 | Revalues: 131220 | GridSize: 299
Generation 77 | Revalues: 132560 | GridSize: 300
Generation 78 | Revalues: 133680 | GridSize: 300
Generation 79 | Revalues: 134850 | GridSize: 300
Generation 80 | Revalues: 135890 | GridSize: 300
Generation 81 | Revalues: 137030 | GridSize: 300
Generation 82 | Revalues: 138210 | GridSize: 300
Generation 83 | Revalues: 139330 | GridSize: 300
Generation 84 | Revalues: 140380 | GridSize: 300
Generation 85 | Revalues: 141460 | GridSize: 297
Generation 86 | Revalues: 142560 | GridSize: 300
Generation 87 | Revalues: 143670 | GridSize: 300
Generation 88 | Revalues: 144720 | GridSize: 300
Generation 89 | Revalues: 145770 | GridSize: 300
Generation 90 | Revalues: 146890 | GridSize: 300
Generation 91 | Revalues: 147950 | GridSize: 300
Generation 92 | Revalues: 149130 | GridSize: 300
Generation 93 | Revalues: 150300 | GridSize: 300
Generation 94 | Revalues: 151320 | GridSize: 300
Generation 95 | Revalues: 152530 | GridSize: 299
Generation 96 | Revalues: 153570 | GridSize: 300
Generation 97 | Revalues: 154660 | GridSize: 300
Generation 98 | Revalues: 155780 | GridSize: 300
Generation 99 | Revalues: 156780 | GridSize: 300
Generation 100 | Revalues: 157920 | GridSize: 300
Generation 101 | Revalues: 159080 | GridSize: 300
Generation 102 | Revalues: 160200 | GridSize: 300
Generation 103 | Revalues: 161310 | GridSize: 300
Generation 104 | Revalues: 162440 | GridSize: 300
Generation 105 | Revalues: 163460 | GridSize: 300
Generation 106 | Revalues: 164570 | GridSize: 300
Generation 107 | Revalues: 165670 | GridSize: 300
Generation 108 | Revalues: 166830 | GridSize: 300
Generation 109 | Revalues: 167900 | GridSize: 300
Generation 110 | Revalues: 168950 | GridSize: 300
Generation 111 | Revalues: 169960 | GridSize: 300
Generation 112 | Revalues: 170980 | GridSize: 300
Generation 113 | Revalues: 172230 | GridSize: 300
Generation 114 | Revalues: 173300 | GridSize: 300
Generation 115 | Revalues: 174440 | GridSize: 300
Generation 116 | Revalues: 175470 | GridSize: 297
Generation 117 | Revalues: 176470 | GridSize: 300
Generation 118 | Revalues: 177620 | GridSize: 299
Generation 119 | Revalues: 178620 | GridSize: 300
Generation 120 | Revalues: 179650 | GridSize: 300
Generation 121 | Revalues: 180770 | GridSize: 300
Generation 122 | Revalues: 181900 | GridSize: 300
Generation 123 | Revalues: 182910 | GridSize: 296
Generation 124 | Revalues: 184080 | GridSize: 300
Generation 125 | Revalues: 185180 | GridSize: 300
Generation 126 | Revalues: 186210 | GridSize: 300
Generation 127 | Revalues: 187310 | GridSize: 300
Generation 128 | Revalues: 188340 | GridSize: 300
Generation 129 | Revalues: 189390 | GridSize: 300
Generation 130 | Revalues: 190420 | GridSize: 300
Generation 131 | Revalues: 191560 | GridSize: 300
Generation 132 | Revalues: 192560 | GridSize: 300
Generation 133 | Revalues: 193590 | GridSize: 300
Generation 134 | Revalues: 194710 | GridSize: 300
Generation 135 | Revalues: 195870 | GridSize: 300
Generation 136 | Revalues: 196980 | GridSize: 300
Generation 137 | Revalues: 198060 | GridSize: 300
Generation 138 | Revalues: 199200 | GridSize: 300
Generation 139 | Revalues: 200200 | GridSize: 300
Generation 140 | Revalues: 201310 | GridSize: 300
Generation 141 | Revalues: 202310 | GridSize: 300
Generation 142 | Revalues: 203500 | GridSize: 300
Generation 143 | Revalues: 204500 | GridSize: 298
Generation 144 | Revalues: 205550 | GridSize: 300
Generation 145 | Revalues: 206630 | GridSize: 300
Generation 146 | Revalues: 207780 | GridSize: 300
Generation 147 | Revalues: 208830 | GridSize: 300
Generation 148 | Revalues: 209910 | GridSize: 300
Generation 149 | Revalues: 210920 | GridSize: 300
Generation 150 | Revalues: 211940 | GridSize: 300
Generation 151 | Revalues: 213000 | GridSize: 297
Generation 152 | Revalues: 214070 | GridSize: 300
Generation 153 | Revalues: 215120 | GridSize: 299
Generation 154 | Revalues: 216190 | GridSize: 300
Generation 155 | Revalues: 217230 | GridSize: 300
Generation 156 | Revalues: 218390 | GridSize: 300
Generation 157 | Revalues: 219500 | GridSize: 300
Generation 158 | Revalues: 220510 | GridSize: 300
Generation 159 | Revalues: 221530 | GridSize: 300
Generation 160 | Revalues: 222540 | GridSize: 300
Generation 161 | Revalues: 223590 | GridSize: 299
Generation 162 | Revalues: 224600 | GridSize: 300
Generation 163 | Revalues: 225680 | GridSize: 300
Generation 164 | Revalues: 226760 | GridSize: 300
Generation 165 | Revalues: 227870 | GridSize: 300
Generation 166 | Revalues: 228970 | GridSize: 300
Generation 167 | Revalues: 229990 | GridSize: 300
Generation 168 | Revalues: 231030 | GridSize: 300
Generation 169 | Revalues: 232190 | GridSize: 300
Generation 170 | Revalues: 233240 | GridSize: 300
Generation 171 | Revalues: 234360 | GridSize: 300
Generation 172 | Revalues: 235370 | GridSize: 300
Generation 173 | Revalues: 236370 | GridSize: 300
