Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
6,0.3644262295,0.0805620541,0.6590090916,2.6042926751,0.1317643395,0.1250819672,0.0644045348,0.7266955507,3.0071557374,0.5459894126,0.5104918033,0.0481264124,0.1822991968,3.1444336724,-0.0249223621,0.5104918033,0.0481264124,0.1822991968,3.1444336724,-0.0249223621,0.75129334304,0.7365914820200001
60,0.3872197309,0.0906448308,0.7163821355,2.3077163853,-0.0522532027,0.1312556054,0.081506236,0.849904056,2.6032557352,0.687247042,0.4815246637,0.0517964979,0.0467010588,2.6155658539,0.0233204494,0.4815246637,0.0517964979,0.0467010588,2.6155658539,0.0233204494,0.8924433698500002,0.8802563368999999
61,0.376,0.0841155668,0.5182052913,2.5595142813,-0.1905908677,0.1131428571,0.0866114947,0.8229908148,3.626869619,0.8606953836,0.5108571429,0.0616149995,0.106097793,2.6442101411,-0.1864772968,0.5108571429,0.0616149995,0.106097793,2.6442101411,-0.1864772968,0.7663488326499998,0.76614274325
62,0.3616535433,0.0767628907,0.7417241701,2.1627277522,-0.0215486069,0.128503937,0.0768583802,0.7973239292,2.1765581701,0.5012547907,0.5098425197,0.0465161771,0.027395089,2.733524935,-0.1669606412,0.5098425197,0.0465161771,0.027395089,2.733524935,-0.1669606412,0.7557927761500001,0.7503830588
63,0.4013402062,0.0816597021,0.6003020934,2.7218969134,-0.0111108984,0.1109278351,0.0651181713,0.7767621566,2.8456924026,0.7363683498,0.4877319588,0.0544419705,0.0887007812,2.7721328801,-0.0032376271,0.4877319588,0.0544419705,0.0887007812,2.7721328801,-0.0032376271,0.7997567074300002,0.7866452102149999
64,0.3618918919,0.0703307951,0.6628329306,2.3935200203,-0.1350629138,0.1342567568,0.0807154764,0.8342747755,2.2232038857,0.5118543109,0.5038513514,0.0482885982,0.1667968271,3.1292414388,-0.0739778759,0.5038513514,0.0482885982,0.1667968271,3.1292414388,-0.0739778759,0.7582514516999999,0.7368277948499999
65,0.469,0.1067836598,0.7730321985,2.9544908093,-0.8315481151,0.0883125,0.0700733711,0.7612338464,4.1424784163,1.3088736471,0.4426875,0.0605157198,0.3167211278,3.3735406275,0.457592949,0.4426875,0.0605157198,0.3167211278,3.3735406275,0.457592949,0.8201935774100001,0.763378218545
66,0.3951923077,0.0824852058,0.7154294878,2.4262833842,0.0281202187,0.1197115385,0.0721704277,0.8680967237,2.2355643659,0.5117850476,0.4850961538,0.0485757773,0.1143653158,2.8228227075,0.0806565021,0.4850961538,0.0485757773,0.1143653158,2.8228227075,0.0806565021,0.7847652837999999,0.7820137191500002
67,0.3537931034,0.079985507,0.5913892124,2.6581730767,0.3568872556,0.1182758621,0.0705675986,0.8317541169,2.8042361755,0.6677617714,0.5279310345,0.0528093063,0.0217957586,2.8780902055,-0.0148103677,0.5279310345,0.0528093063,0.0217957586,2.8780902055,-0.0148103677,0.76892399277,0.76527235785
68,0.3891397849,0.0921272602,0.7416492326,2.095035128,-0.1958631571,0.1208602151,0.0742222167,0.7858553172,2.9220017052,0.803910734,0.49,0.0530570802,0.2123758594,2.3457047379,0.0708405802,0.49,0.0530570802,0.2123758594,2.3457047379,0.0708405802,0.798398532255,0.794076646455
69,0.3841904762,0.1058820633,0.7313334962,2.1996553624,-0.0065168741,0.1186666667,0.0818601207,0.8892581501,2.0328710468,0.4529108651,0.4971428571,0.0545582133,0.0882612822,3.1924935502,-0.112282252,0.4971428571,0.0545582133,0.0882612822,3.1924935502,-0.112282252,0.6007819729449999,0.59602619915
7,0.41375,0.1088888003,0.7516028279,1.9781399915,-0.0761511308,0.1023611111,0.0815388976,0.8660176322,2.1773933664,0.6993462003,0.4838888889,0.0571925489,-0.0256063886,2.5403097719,0.0819731527,0.4838888889,0.0571925489,-0.0256063886,2.5403097719,0.0819731527,0.7752820188500001,0.7749040975000001
70,0.4302358491,0.1104255962,0.7880906893,2.0623447182,-0.0534298312,0.0966981132,0.0635984113,0.8136384072,2.6929400617,0.7504847365,0.4730660377,0.0679382029,0.412498755,2.5949549531,-0.0671730259,0.4730660377,0.0679382029,0.412498755,2.5949549531,-0.0671730259,0.8580053395,0.8495557845999999
