Feature,Importance
INC_sd,0.2127012519086929
SUP_sd,0.18536986347322695
INF_sd,0.18319131105008915
SUP_avg,0.12010842661144688
INF_avg,0.11664763237990317
INC_avg,0.06304170280675134
INC_sk,0.027981970553028944
IND_r1,0.022809922868328947
IND_avg,0.018320970948268896
IND_sk,0.009221273959735259
IND_kr,0.009036977414953183
INC_kr,0.004636729535748853
INF_kr,0.0041563346828802925
INF_r1,0.003999329430853811
SUP_sk,0.003815042257394698
INF_sk,0.0037099313846557414
INC_r1,0.00347678569459025
SUP_r1,0.0031646686302660588
SUP_kr,0.0027708756945691916
IND_sd,0.0018389987146154036
