r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0029892615,0.0029323325,0.0025829798,0.0031068027,0.0026435733,0.0028151148
50%,0.003164955,0.0028172331,0.0024691196,0.002583895,0.0029326163,0.0030488972
25%,0.002873021,0.0033966407,0.0029906821,0.0027588178,0.0033412983,0.0031647424
10%,0.003047174,0.003221874,0.003164923,0.0025853511,0.002932082,0.0026407222
5%,0.0026991289,0.0033391515,0.0029908215,0.0029331139,0.0029330912,0.0028752203
