r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0527722448,0.055805851,0.047395536,0.0582055133,0.0509501425,0.0495839654
50%,0.0588891728,0.0535899027,0.0514252596,0.0461098014,0.0522245629,0.0592134240
25%,0.0503046376,0.0599544739,0.0534265602,0.0511912072,0.0664970438,0.0587174029
10%,0.0548053925,0.0566160384,0.0590788667,0.0509586143,0.0527945163,0.0467178840
5%,0.0495569498,0.0610686282,0.0559247776,0.0565958524,0.0536448638,0.0539329436
