r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.9763202424,0.9753292713,0.9820874411,0.9749340665,0.9822260052,0.9785113417
50%,0.9724337375,0.9795610919,0.9849114074,0.981221545,0.9724750075,0.9789061182
25%,0.9745176851,0.9717621679,0.9746767519,0.9784681405,0.9659316707,0.9687901390
10%,0.9719775468,0.9713246593,0.9710309726,0.9819633273,0.9798617254,0.9812507177
5%,0.9785234097,0.9710127083,0.9755788213,0.97620262,0.9732288605,0.9767298761
