r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,8.9357e-06,8.5986e-06,6.6718e-06,9.6522e-06,6.9885e-06,0.0000079249
50%,1.00169e-05,7.9368e-06,6.0966e-06,6.6765e-06,8.6002e-06,0.0000092958
25%,8.2542e-06,1.15372e-05,8.9442e-06,7.6111e-06,1.11643e-05,0.0000100156
10%,9.2853e-06,1.03805e-05,1.00167e-05,6.684e-06,8.5971e-06,0.0000069734
5%,7.2853e-06,1.11499e-05,8.945e-06,8.6032e-06,8.603e-06,0.0000082669
