r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0019568601,0.0020304569,0.0019035065,0.0018403261,0.0019293361,0.0020307191
50%,0.001983356,0.0020586786,0.002003401,0.0019970923,0.001975269,0.0020111016
25%,0.0020147054,0.0020394107,0.0020076413,0.0019363058,0.0019421965,0.0019342317
10%,0.0020383502,0.0020570998,0.002037613,0.0019231912,0.0020665676,0.0020324184
5%,0.002026996,0.0020873148,0.0020214034,0.0020939339,0.0020025308,0.0019940476
