r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,3.8293e-06,4.1228e-06,3.6233e-06,3.3868e-06,3.7223e-06,0.0000041238
50%,3.9337e-06,4.2382e-06,4.0136e-06,3.9884e-06,3.9017e-06,0.0000040445
25%,4.059e-06,4.1592e-06,4.0306e-06,3.7493e-06,3.7721e-06,0.0000037413
10%,4.1549e-06,4.2317e-06,4.1519e-06,3.6987e-06,4.2707e-06,0.0000041307
5%,4.1087e-06,4.3569e-06,4.0861e-06,4.3846e-06,4.0101e-06,0.0000039762
