Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 19440 | GridSize: 154
Generation 2 | Revalues: 22390 | GridSize: 161
Generation 3 | Revalues: 25000 | GridSize: 203
Generation 4 | Revalues: 29430 | GridSize: 198
Generation 5 | Revalues: 34360 | GridSize: 212
Generation 6 | Revalues: 37820 | GridSize: 200
Generation 7 | Revalues: 39120 | GridSize: 207
Generation 8 | Revalues: 40880 | GridSize: 208
Generation 9 | Revalues: 42980 | GridSize: 212
Generation 10 | Revalues: 44680 | GridSize: 216
Generation 11 | Revalues: 46240 | GridSize: 219
Generation 12 | Revalues: 48040 | GridSize: 213
Generation 13 | Revalues: 49550 | GridSize: 218
Generation 14 | Revalues: 52940 | GridSize: 205
Generation 15 | Revalues: 56050 | GridSize: 208
Generation 16 | Revalues: 57780 | GridSize: 203
Generation 17 | Revalues: 59430 | GridSize: 203
Generation 18 | Revalues: 60560 | GridSize: 205
Generation 19 | Revalues: 62100 | GridSize: 222
Generation 20 | Revalues: 63570 | GridSize: 218
Generation 21 | Revalues: 64950 | GridSize: 220
Generation 22 | Revalues: 65990 | GridSize: 226
Generation 23 | Revalues: 67690 | GridSize: 217
Generation 24 | Revalues: 69130 | GridSize: 237
Generation 25 | Revalues: 71070 | GridSize: 238
Generation 26 | Revalues: 72150 | GridSize: 233
Generation 27 | Revalues: 73720 | GridSize: 244
Generation 28 | Revalues: 74940 | GridSize: 247
Generation 29 | Revalues: 76140 | GridSize: 250
Generation 30 | Revalues: 77270 | GridSize: 262
Generation 31 | Revalues: 78420 | GridSize: 249
Generation 32 | Revalues: 79420 | GridSize: 257
Generation 33 | Revalues: 80430 | GridSize: 257
Generation 34 | Revalues: 81670 | GridSize: 247
Generation 35 | Revalues: 82910 | GridSize: 260
Generation 36 | Revalues: 84060 | GridSize: 257
Generation 37 | Revalues: 85320 | GridSize: 256
Generation 38 | Revalues: 86570 | GridSize: 254
Generation 39 | Revalues: 87670 | GridSize: 263
Generation 40 | Revalues: 88820 | GridSize: 266
Generation 41 | Revalues: 89970 | GridSize: 256
Generation 42 | Revalues: 91160 | GridSize: 251
Generation 43 | Revalues: 92200 | GridSize: 247
Generation 44 | Revalues: 93410 | GridSize: 250
Generation 45 | Revalues: 94470 | GridSize: 258
Generation 46 | Revalues: 95570 | GridSize: 256
Generation 47 | Revalues: 96700 | GridSize: 264
Generation 48 | Revalues: 97840 | GridSize: 267
Generation 49 | Revalues: 98940 | GridSize: 263
Generation 50 | Revalues: 100180 | GridSize: 270
Generation 51 | Revalues: 101490 | GridSize: 255
Generation 52 | Revalues: 102970 | GridSize: 240
Generation 53 | Revalues: 104550 | GridSize: 245
Generation 54 | Revalues: 105830 | GridSize: 252
Generation 55 | Revalues: 107170 | GridSize: 248
Generation 56 | Revalues: 108740 | GridSize: 243
Generation 57 | Revalues: 109850 | GridSize: 247
Generation 58 | Revalues: 111070 | GridSize: 251
Generation 59 | Revalues: 112210 | GridSize: 257
Generation 60 | Revalues: 113400 | GridSize: 261
Generation 61 | Revalues: 114830 | GridSize: 255
Generation 62 | Revalues: 116100 | GridSize: 263
Generation 63 | Revalues: 117190 | GridSize: 266
Generation 64 | Revalues: 118610 | GridSize: 251
Generation 65 | Revalues: 119820 | GridSize: 257
Generation 66 | Revalues: 121190 | GridSize: 248
Generation 67 | Revalues: 122430 | GridSize: 248
Generation 68 | Revalues: 123480 | GridSize: 252
Generation 69 | Revalues: 124540 | GridSize: 268
Generation 70 | Revalues: 125720 | GridSize: 261
Generation 71 | Revalues: 126830 | GridSize: 262
Generation 72 | Revalues: 128180 | GridSize: 279
Generation 73 | Revalues: 129200 | GridSize: 279
Generation 74 | Revalues: 130340 | GridSize: 277
Generation 75 | Revalues: 132050 | GridSize: 278
Generation 76 | Revalues: 133180 | GridSize: 279
Generation 77 | Revalues: 134440 | GridSize: 274
Generation 78 | Revalues: 135620 | GridSize: 278
Generation 79 | Revalues: 136750 | GridSize: 282
Generation 80 | Revalues: 138070 | GridSize: 280
Generation 81 | Revalues: 139170 | GridSize: 277
Generation 82 | Revalues: 140210 | GridSize: 288
Generation 83 | Revalues: 142140 | GridSize: 283
Generation 84 | Revalues: 143250 | GridSize: 286
Generation 85 | Revalues: 144500 | GridSize: 293
Generation 86 | Revalues: 145750 | GridSize: 288
Generation 87 | Revalues: 146930 | GridSize: 298
Generation 88 | Revalues: 148080 | GridSize: 300
Generation 89 | Revalues: 149510 | GridSize: 282
Generation 90 | Revalues: 150540 | GridSize: 290
Generation 91 | Revalues: 151570 | GridSize: 295
Generation 92 | Revalues: 152620 | GridSize: 296
Generation 93 | Revalues: 153920 | GridSize: 293
Generation 94 | Revalues: 154920 | GridSize: 300
Generation 95 | Revalues: 155950 | GridSize: 296
Generation 96 | Revalues: 157270 | GridSize: 297
Generation 97 | Revalues: 158340 | GridSize: 298
Generation 98 | Revalues: 159370 | GridSize: 298
Generation 99 | Revalues: 160380 | GridSize: 300
Generation 100 | Revalues: 161540 | GridSize: 289
Generation 101 | Revalues: 162570 | GridSize: 296
Generation 102 | Revalues: 163590 | GridSize: 297
Generation 103 | Revalues: 164730 | GridSize: 287
Generation 104 | Revalues: 165790 | GridSize: 296
Generation 105 | Revalues: 167360 | GridSize: 300
Generation 106 | Revalues: 168950 | GridSize: 298
Generation 107 | Revalues: 169970 | GridSize: 300
Generation 108 | Revalues: 171170 | GridSize: 291
Generation 109 | Revalues: 172170 | GridSize: 297
Generation 110 | Revalues: 173280 | GridSize: 293
Generation 111 | Revalues: 174330 | GridSize: 292
Generation 112 | Revalues: 175500 | GridSize: 285
Generation 113 | Revalues: 176840 | GridSize: 282
Generation 114 | Revalues: 177980 | GridSize: 279
Generation 115 | Revalues: 179080 | GridSize: 278
Generation 116 | Revalues: 180190 | GridSize: 282
Generation 117 | Revalues: 181510 | GridSize: 284
Generation 118 | Revalues: 182680 | GridSize: 281
Generation 119 | Revalues: 183840 | GridSize: 281
Generation 120 | Revalues: 184920 | GridSize: 281
Generation 121 | Revalues: 186050 | GridSize: 279
Generation 122 | Revalues: 187070 | GridSize: 287
Generation 123 | Revalues: 188200 | GridSize: 295
Generation 124 | Revalues: 189310 | GridSize: 290
Generation 125 | Revalues: 190410 | GridSize: 300
Generation 126 | Revalues: 191620 | GridSize: 298
Generation 127 | Revalues: 192620 | GridSize: 300
Generation 128 | Revalues: 193670 | GridSize: 300
Generation 129 | Revalues: 194760 | GridSize: 298
Generation 130 | Revalues: 195890 | GridSize: 298
Generation 131 | Revalues: 197110 | GridSize: 299
Generation 132 | Revalues: 198130 | GridSize: 300
Generation 133 | Revalues: 199170 | GridSize: 295
Generation 134 | Revalues: 200180 | GridSize: 298
Generation 135 | Revalues: 201240 | GridSize: 298
Generation 136 | Revalues: 202690 | GridSize: 300
Generation 137 | Revalues: 204060 | GridSize: 291
Generation 138 | Revalues: 205140 | GridSize: 288
Generation 139 | Revalues: 206200 | GridSize: 298
Generation 140 | Revalues: 207310 | GridSize: 298
Generation 141 | Revalues: 208310 | GridSize: 300
Generation 142 | Revalues: 209430 | GridSize: 299
Generation 143 | Revalues: 210550 | GridSize: 290
Generation 144 | Revalues: 211600 | GridSize: 299
Generation 145 | Revalues: 212640 | GridSize: 297
Generation 146 | Revalues: 213750 | GridSize: 300
Generation 147 | Revalues: 214780 | GridSize: 296
Generation 148 | Revalues: 215870 | GridSize: 300
Generation 149 | Revalues: 217020 | GridSize: 294
Generation 150 | Revalues: 218240 | GridSize: 291
Generation 151 | Revalues: 219290 | GridSize: 299
Generation 152 | Revalues: 220380 | GridSize: 296
Generation 153 | Revalues: 221420 | GridSize: 300
Generation 154 | Revalues: 222480 | GridSize: 299
Generation 155 | Revalues: 223480 | GridSize: 297
Generation 156 | Revalues: 224810 | GridSize: 300
Generation 157 | Revalues: 225920 | GridSize: 300
Generation 158 | Revalues: 227190 | GridSize: 300
Generation 159 | Revalues: 228360 | GridSize: 299
Generation 160 | Revalues: 229360 | GridSize: 296
Generation 161 | Revalues: 230410 | GridSize: 300
Generation 162 | Revalues: 231450 | GridSize: 300
Generation 163 | Revalues: 232450 | GridSize: 300
Generation 164 | Revalues: 233550 | GridSize: 300
Generation 165 | Revalues: 234650 | GridSize: 299
Generation 166 | Revalues: 235650 | GridSize: 300
Generation 167 | Revalues: 236700 | GridSize: 297
Generation 168 | Revalues: 237770 | GridSize: 299
Generation 169 | Revalues: 238820 | GridSize: 300
Generation 170 | Revalues: 239820 | GridSize: 300
Generation 171 | Revalues: 240850 | GridSize: 299
Generation 172 | Revalues: 242020 | GridSize: 299
Generation 173 | Revalues: 243040 | GridSize: 298
Generation 174 | Revalues: 244120 | GridSize: 300
Generation 175 | Revalues: 245120 | GridSize: 300
Generation 176 | Revalues: 246150 | GridSize: 300
Generation 177 | Revalues: 247160 | GridSize: 300
Generation 178 | Revalues: 248290 | GridSize: 297
Generation 179 | Revalues: 249300 | GridSize: 300
Generation 180 | Revalues: 250510 | GridSize: 300
Generation 181 | Revalues: 251870 | GridSize: 299
Generation 182 | Revalues: 252880 | GridSize: 296
Generation 183 | Revalues: 253920 | GridSize: 300
Generation 184 | Revalues: 255070 | GridSize: 300
Generation 185 | Revalues: 256180 | GridSize: 300
Generation 186 | Revalues: 257320 | GridSize: 300
Generation 187 | Revalues: 258330 | GridSize: 299
Generation 188 | Revalues: 259660 | GridSize: 299
Generation 189 | Revalues: 260730 | GridSize: 300
Generation 190 | Revalues: 261800 | GridSize: 300
Generation 191 | Revalues: 262970 | GridSize: 300
Generation 192 | Revalues: 263980 | GridSize: 300
Generation 193 | Revalues: 265330 | GridSize: 300
Generation 194 | Revalues: 266550 | GridSize: 300
Generation 195 | Revalues: 267570 | GridSize: 298
Generation 196 | Revalues: 268570 | GridSize: 300
Generation 197 | Revalues: 269620 | GridSize: 300
Generation 198 | Revalues: 270640 | GridSize: 300
Generation 199 | Revalues: 271670 | GridSize: 300
Generation 200 | Revalues: 272720 | GridSize: 299
Generation 201 | Revalues: 273820 | GridSize: 299
Generation 202 | Revalues: 274970 | GridSize: 300
Generation 203 | Revalues: 276020 | GridSize: 300
Generation 204 | Revalues: 277280 | GridSize: 300
Generation 205 | Revalues: 278300 | GridSize: 295
Generation 206 | Revalues: 279320 | GridSize: 300
Generation 207 | Revalues: 280320 | GridSize: 300
Generation 208 | Revalues: 281370 | GridSize: 300
Generation 209 | Revalues: 282380 | GridSize: 300
Generation 210 | Revalues: 283390 | GridSize: 300
Generation 211 | Revalues: 284410 | GridSize: 300
Generation 212 | Revalues: 285420 | GridSize: 300
Generation 213 | Revalues: 286440 | GridSize: 300
Generation 214 | Revalues: 287760 | GridSize: 300
