Instance,AS_Prediction
71,0.7926825365120008
129,0.7345283323532005
22,0.6989402607065996
183,0.8778200047154532
429,0.8036924309329995
64,0.79074022185395
481,0.7854509879069
241,0.7994859046469499
281,0.7962527677690503
84,0.7930392381088
161,0.797609107488
103,0.80194485175005
209,0.7949898579029501
206,0.8033427186608497
244,0.7914719279942501
336,0.7924202740107005
331,0.8001677606784001
0,0.8042516040682
261,0.8024170677136003
504,0.7778631470702498
407,0.7876927547768999
440,0.7943307356772
230,0.7900191750322999
430,0.7958107405038
A,0.7944897675446504
357,0.7957461258215506
202,0.8057649632822498
345,0.7986393686607997
232,0.7932395669555499
127,0.8007840366513997
20,0.8018078798643999
387,0.8020013938174501
67,0.8023477904211002
502,0.7922558615279999
94,0.8065022379477501
74,0.8052784121365001
23,0.8018311569167499
156,0.7980319672499999
394,0.7801055257614496
121,0.7945102168291999
242,0.7921799002980001
80,0.8018880797114002
11,0.7984333855596997
59,0.7884548989416998
179,0.8044573837696501
427,0.8029153281207505
340,0.8094571330320499
137,0.7983453873065999
366,0.8005420006071999
322,0.7930028597528
81,0.80126096002555
237,0.7805583452330002
69,0.7930001064894501
239,0.7918307850328498
497,0.7938536379667999
