Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 13950 | GridSize: 205
Generation 2 | Revalues: 16200 | GridSize: 216
Generation 3 | Revalues: 18600 | GridSize: 258
Generation 4 | Revalues: 20270 | GridSize: 279
Generation 5 | Revalues: 22420 | GridSize: 267
Generation 6 | Revalues: 24180 | GridSize: 285
Generation 7 | Revalues: 26170 | GridSize: 296
Generation 8 | Revalues: 27480 | GridSize: 291
Generation 9 | Revalues: 28840 | GridSize: 298
Generation 10 | Revalues: 31070 | GridSize: 300
Generation 11 | Revalues: 32700 | GridSize: 294
Generation 12 | Revalues: 34190 | GridSize: 300
Generation 13 | Revalues: 35520 | GridSize: 292
Generation 14 | Revalues: 37000 | GridSize: 298
Generation 15 | Revalues: 38700 | GridSize: 300
Generation 16 | Revalues: 40140 | GridSize: 300
Generation 17 | Revalues: 41460 | GridSize: 299
Generation 18 | Revalues: 42890 | GridSize: 296
Generation 19 | Revalues: 44570 | GridSize: 293
Generation 20 | Revalues: 45960 | GridSize: 297
Generation 21 | Revalues: 47510 | GridSize: 300
Generation 22 | Revalues: 48680 | GridSize: 300
Generation 23 | Revalues: 49790 | GridSize: 300
Generation 24 | Revalues: 50830 | GridSize: 297
Generation 25 | Revalues: 52380 | GridSize: 299
Generation 26 | Revalues: 53620 | GridSize: 300
Generation 27 | Revalues: 54950 | GridSize: 300
Generation 28 | Revalues: 56060 | GridSize: 298
Generation 29 | Revalues: 57260 | GridSize: 300
Generation 30 | Revalues: 58800 | GridSize: 299
Generation 31 | Revalues: 59880 | GridSize: 291
Generation 32 | Revalues: 60940 | GridSize: 300
Generation 33 | Revalues: 61960 | GridSize: 299
Generation 34 | Revalues: 63540 | GridSize: 298
Generation 35 | Revalues: 64710 | GridSize: 300
Generation 36 | Revalues: 66170 | GridSize: 300
Generation 37 | Revalues: 67320 | GridSize: 294
Generation 38 | Revalues: 68650 | GridSize: 296
Generation 39 | Revalues: 69910 | GridSize: 300
Generation 40 | Revalues: 71130 | GridSize: 300
Generation 41 | Revalues: 72310 | GridSize: 300
Generation 42 | Revalues: 73460 | GridSize: 296
Generation 43 | Revalues: 75190 | GridSize: 288
Generation 44 | Revalues: 76470 | GridSize: 295
Generation 45 | Revalues: 77900 | GridSize: 300
Generation 46 | Revalues: 79040 | GridSize: 299
Generation 47 | Revalues: 80170 | GridSize: 295
Generation 48 | Revalues: 81410 | GridSize: 296
Generation 49 | Revalues: 82540 | GridSize: 297
Generation 50 | Revalues: 83630 | GridSize: 300
Generation 51 | Revalues: 84930 | GridSize: 300
Generation 52 | Revalues: 86000 | GridSize: 300
Generation 53 | Revalues: 87130 | GridSize: 300
