Instance,SBS_Prediction
71,0.7362638478319624
129,0.7383959192900933
22,0.7032504281008128
183,0.7529646452693015
429,0.6564299635623005
64,0.624418278307302
481,0.7415896043920572
241,0.7707628982473702
281,0.7297922312549672
84,0.7374764076661272
161,0.7967700374189923
103,0.6350245564983544
209,0.6391862363464273
206,0.6409823202224821
244,0.6338345331348229
336,0.6338212492133215
331,0.6309530185015604
0,0.6345958701473663
261,0.635708770820585
504,0.6325917171426404
407,0.6108644388509511
440,0.6166124368116269
230,0.6407281907507891
430,0.6446252894981351
A,0.641563761598341
357,0.6344831382465215
202,0.6386910383428165
345,0.6408854835138578
232,0.627386605048623
127,0.6274611704555866
20,0.6242785031547254
387,0.6255898551073326
67,0.6594660094420495
502,0.6374326369372598
94,0.6476714357050075
74,0.6388888975200413
23,0.6313521491978349
156,0.6274838980393842
394,0.6271190820610649
121,0.6421194417006194
242,0.6323389596180454
80,0.6276119330198796
11,0.6205866990396294
59,0.6342036806634064
179,0.6381304034046092
427,0.6445667877204191
340,0.6400072064017975
137,0.6501699794054541
366,0.6383308267878556
322,0.6426478713806586
81,0.6389524306278305
237,0.6232188100809232
69,0.6327140275079288
239,0.6346070091020715
497,0.6411172044129727
496,0.6415074030099701
92,0.6348366451597549
168,0.6376863049036056
14,0.6314251136872939
367,0.62877899052977
247,0.6287518813864882
