Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,COMOLSD
3,MOEAD
4,MOEAD
5,COMOLSD
6,COMOLSD
7,COMOLSD
8,COMOLSD
9,MOEAD
10,COMOLSD
11,COMOLSD
12,MOEAD
13,COMOLSD
14,MOEAD
15,COMOLSD
16,COMOLSD
17,MOEAD
18,COMOLSD
19,COMOLSD
20,COMOLSD
21,MOEAD
22,COMOLSD
23,COMOLSD
24,COMOLSD
25,MOEAD
26,COMOLSD
27,COMOLSD
28,COMOLSD
29,COMOLSD
30,COMOLSD
31,COMOLSD
32,MOEAD
33,COMOLSD
34,COMOLSD
35,COMOLSD
36,MOEAD
37,COMOLSD
38,MOEAD
39,COMOLSD
40,COMOLSD
41,COMOLSD
42,COMOLSD
43,MOEAD
44,MOEAD
45,MOEAD
46,COMOLSD
47,COMOLSD
48,COMOLSD
49,COMOLSD
50,COMOLSD
51,COMOLSD
52,COMOLSD
53,COMOLSD
54,MOEAD
55,COMOLSD
56,COMOLSD
57,COMOLSD
58,MOEAD
59,MOEAD
60,COMOLSD
61,COMOLSD
62,MOEAD
63,COMOLSD
64,COMOLSD
65,MOEAD
66,COMOLSD
67,COMOLSD
68,COMOLSD
69,COMOLSD
70,MOEAD
71,COMOLSD
72,MOEAD
73,COMOLSD
74,COMOLSD
75,MOEAD
76,COMOLSD
77,COMOLSD
78,MOEAD
79,COMOLSD
80,COMOLSD
81,MOEAD
82,MOEAD
83,MOEAD
84,COMOLSD
85,COMOLSD
86,MOEAD
87,COMOLSD
88,COMOLSD
89,MOEAD
90,COMOLSD
91,COMOLSD
92,COMOLSD
93,COMOLSD
94,MOEAD
95,MOEAD
96,COMOLSD
97,MOEAD
98,COMOLSD
99,COMOLSD
