Fold,SBS_Best_Models
0,COMOLSD
1,MOEAD
2,COMOLSD
3,COMOLSD
4,COMOLSD
5,COMOLSD
6,MOEAD
7,MOEAD
8,COMOLSD
9,COMOLSD
10,COMOLSD
11,COMOLSD
12,COMOLSD
13,MOEAD
14,MOEAD
15,MOEAD
16,COMOLSD
17,MOEAD
18,COMOLSD
19,MOEAD
20,MOEAD
21,COMOLSD
22,MOEAD
23,COMOLSD
24,MOEAD
25,COMOLSD
26,COMOLSD
27,MOEAD
28,COMOLSD
29,COMOLSD
30,COMOLSD
31,COMOLSD
32,MOEAD
33,COMOLSD
34,COMOLSD
35,COMOLSD
36,COMOLSD
37,COMOLSD
38,COMOLSD
39,COMOLSD
40,COMOLSD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,MOEAD
45,COMOLSD
46,MOEAD
47,COMOLSD
48,COMOLSD
49,COMOLSD
50,MOEAD
51,MOEAD
52,MOEAD
53,COMOLSD
54,MOEAD
55,COMOLSD
56,COMOLSD
57,MOEAD
58,MOEAD
59,COMOLSD
60,COMOLSD
61,COMOLSD
62,COMOLSD
63,MOEAD
64,MOEAD
65,COMOLSD
66,COMOLSD
67,COMOLSD
68,COMOLSD
69,COMOLSD
70,COMOLSD
71,COMOLSD
72,MOEAD
73,COMOLSD
74,COMOLSD
75,COMOLSD
76,COMOLSD
77,COMOLSD
78,COMOLSD
79,MOEAD
80,COMOLSD
81,MOEAD
82,COMOLSD
83,MOEAD
84,COMOLSD
85,COMOLSD
86,COMOLSD
87,COMOLSD
88,MOEAD
89,MOEAD
90,COMOLSD
91,COMOLSD
92,COMOLSD
93,COMOLSD
94,COMOLSD
95,MOEAD
96,COMOLSD
97,MOEAD
98,MOEAD
99,COMOLSD
