r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.9975107457,0.9977318994,0.9976357135,0.9982013541,0.9980436378,0.9979322704
50%,0.9977215731,0.9975717533,0.997847538,0.9980537035,0.9973309495,0.9980566320
25%,0.9975667462,0.9974789048,0.9980172506,0.998142741,0.9978167152,0.9978109331
10%,0.9978003886,0.9978601131,0.9973983794,0.9977677278,0.9974434666,0.9976689125
5%,0.997775657,0.9977225346,0.9976627149,0.9980091766,0.9977250763,0.9978042093
