r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,4.3024e-06,3.9085e-06,4.1989e-06,3.2827e-06,3.6516e-06,0.0000038223
50%,4.1021e-06,4.2465e-06,3.8535e-06,3.6767e-06,4.4382e-06,0.0000039669
25%,4.0542e-06,4.0996e-06,3.9767e-06,3.6295e-06,4.0051e-06,0.0000039119
10%,3.7995e-06,4.0583e-06,4.3469e-06,4.0959e-06,4.3779e-06,0.0000038512
5%,4.0353e-06,3.8201e-06,4.1859e-06,3.8777e-06,3.9039e-06,0.0000039629
