r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.000449735,0.0004150411,0.0004362795,0.000456209,0.0004613896,0.0005003804
50%,0.0004586165,0.0004396691,0.000506109,0.0003945186,0.0004379649,0.0004969736
25%,0.000511124,0.0005365385,0.0004462615,0.0004585115,0.0005176582,0.0005160038
10%,0.0004171215,0.0004738366,0.0004432949,0.0004415334,0.0004304807,0.0004571268
5%,0.0004445627,0.0005110728,0.0005289762,0.0005358156,0.0005221771,0.0005313686
