r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.447,0.445,0.482,0.556,0.609,0.558
50%,0.612,0.492,0.529,0.648,0.698,0.401
25%,0.376,0.658,0.647,0.667,0.768,0.606
10%,0.482,0.618,0.629,0.562,0.605,0.479
5%,0.436,0.638,0.649,0.713,0.71,0.617
