Feature,Importance
IND_avg,0.20830967239755988
INC_avg,0.1422021482608052
INF_sk,0.13828052074316421
SUP_sd,0.09776879091694904
INC_r1,0.05942744309411632
IND_sk,0.05099235728183849
INF_avg,0.04240565651271219
IND_r1,0.0402228724933441
SUP_r1,0.032783236937871794
INC_sk,0.03012234691340888
INF_sd,0.025845533230833936
SUP_kr,0.02464012874629786
IND_sd,0.019326146826816312
IND_kr,0.018999867837878007
INC_kr,0.016968810234435007
SUP_sk,0.014735615132755753
INF_kr,0.010673299254220227
SUP_avg,0.009969813707944275
INF_r1,0.008948739059655675
INC_sd,0.007377000417392765
