r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0779636188,0.0793405312,0.0870158311,0.0825766558,0.0873059721,0.0867911893
50%,0.0873807361,0.0859570936,0.0769711231,0.0932224568,0.0878137412,0.0769156845
25%,0.0728716733,0.0735583728,0.0831635708,0.0891461977,0.0910749841,0.0798997200
10%,0.0824874112,0.0816576808,0.0944245331,0.0888371176,0.0947049217,0.0787919830
5%,0.0854555103,0.0810071727,0.0866454621,0.0883044874,0.0912061932,0.0968829274
