r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,1.38154e-05,1.54299e-05,1.48296e-05,1.6011e-05,1.56261e-05,0.0000173836
50%,1.77438e-05,1.56721e-05,1.25271e-05,1.68832e-05,1.52637e-05,0.0000145409
25%,1.3213e-05,1.09503e-05,1.44042e-05,1.32946e-05,1.52611e-05,0.0000150537
10%,1.59597e-05,1.24333e-05,1.73606e-05,1.45156e-05,1.49515e-05,0.0000146081
5%,1.76384e-05,1.17665e-05,1.45034e-05,1.56561e-05,1.5334e-05,0.0000178573
