r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0037169029,0.0039280862,0.0038509224,0.0040013807,0.0039529864,0.0041693605
50%,0.0042123352,0.0039587948,0.0035393613,0.0041089173,0.0039068817,0.0038132506
25%,0.0036349628,0.0033091227,0.0037952907,0.0036461742,0.0039065444,0.0038799091
10%,0.003994964,0.0035260926,0.0041666048,0.0038099338,0.0038667233,0.0038220569
5%,0.0041998047,0.0034302264,0.0038083279,0.0039567763,0.0039158668,0.0042257928
