r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.8881897046,0.878001345,0.8852725884,0.8751884238,0.8498273236,0.8098905913
50%,0.8422051091,0.8587704912,0.8910543104,0.8547348806,0.8092897362,0.8533939585
25%,0.8895222624,0.9139447833,0.8938620598,0.8652349642,0.871314324,0.8540774817
10%,0.8593778152,0.9215711404,0.8466048236,0.842656008,0.8924878619,0.8267841108
5%,0.8579130644,0.8913326319,0.8629523278,0.8514183791,0.8673814434,0.8157460180
