Instance,SBS_Prediction
71,0.8703008229644444
129,0.823163481291441
22,0.8521317707393647
183,0.8190414518858227
429,0.8313190362988773
64,0.8558798514462194
481,0.8593952632083455
241,0.8627808312861985
281,0.855210470084755
84,0.8650448237720683
161,0.851695651277214
103,0.8487852380176899
209,0.8694419296833824
206,0.8479202201421049
244,0.8482436057547587
336,0.8569873482751289
331,0.857638741670433
0,0.8524125012742267
261,0.8672416536008214
504,0.8614475239641948
407,0.8547511531576584
440,0.8548759997989416
230,0.8571564008956504
430,0.8628970843308233
A,0.8696024407137085
357,0.8662847286337838
202,0.8653461596540093
345,0.8696635206048051
232,0.8522249776055684
127,0.8516830213124449
20,0.859089440387721
387,0.8649288069460788
67,0.8526937721632152
502,0.8495559733860633
94,0.8469912841055561
74,0.8538396907743036
23,0.855397878372704
156,0.8523637960201623
394,0.8614903654422866
121,0.8403546119971962
242,0.8580899124487311
80,0.852782466835403
11,0.8656618625524007
59,0.8528427517356144
179,0.850475266796077
427,0.8617895119224032
340,0.8390408343846808
137,0.8517162608115122
366,0.8652233517876141
322,0.8564701181568094
81,0.8500347117464225
237,0.8632556360972763
69,0.8567071191528122
239,0.8652266866623631
497,0.8438425616694728
496,0.8565929387707532
