Instance,VBS_Prediction
71,0.8757399307581484
129,0.8108071186658746
22,0.852608960204367
183,0.803341028522704
429,0.8483723353080049
64,0.8604527397073631
481,0.8594828567357656
241,0.8449777475202573
281,0.8546639044953898
84,0.8440956879673267
161,0.8582500621873633
103,0.8511512722002341
209,0.8387517605418686
206,0.8383945096147271
244,0.8571646652208826
336,0.8540935565035145
331,0.8612822423936924
0,0.8514774265901335
261,0.8469259257879014
504,0.860154248698677
407,0.8375027987293028
440,0.8476705347713187
230,0.8536905276476472
430,0.844341152475221
A,0.8626569729560543
357,0.8415116449274102
202,0.8442441773107028
345,0.8444333781907547
232,0.8547502575560704
127,0.8336681650375533
20,0.8546699406624346
387,0.8610950211847633
67,0.8559933420848378
502,0.8454241551167637
94,0.849449510436089
74,0.8527937929124282
23,0.8607856105683998
156,0.8456144817531458
394,0.8627866503205016
121,0.8487670098544982
242,0.8377283072351811
80,0.8489582335378277
11,0.8478174733085859
59,0.8543700905173001
179,0.8741122151652005
427,0.8452465781850458
340,0.8549460528581118
137,0.8631311305019519
366,0.859769107704624
322,0.8551867987440082
81,0.856174624349536
237,0.8513580482846866
69,0.8435506481563289
239,0.8634213660776942
497,0.855359238617889
496,0.8505516146326524
