Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
158,0.256,0.0471593045,-0.0216780409,1.359569898,-0.3322581814,0.25,0.0485798312,0.1271186441,2.3391266877,-0.2826031548,0.494,0.0372021505,0.5038167939,1.6054829764,0.2666263917,0.494,0.0372021505,0.5038167939,1.6054829764,0.2666263917,0.857981838655,0.8178943690035
159,0.262,0.0430813185,-0.3605002156,2.1189989596,0.178291537,0.242,0.0318747549,-1.0792079208,1.3299336599,-0.1823080253,0.496,0.0484148737,-0.5310821182,1.2054945311,0.403508977,0.496,0.0484148737,-0.5310821182,1.2054945311,0.403508977,0.9358165269915002,0.9264199628513501
16,0.28,0.0654217089,-0.3571428571,1.455367281,0.0385707516,0.362,0.0752063827,-0.6777024946,1.8869508592,-0.0511181747,0.358,0.056,-0.7991407089,1.9380466472,0.5160349854,0.358,0.056,-0.7991407089,1.9380466472,0.5160349854,0.9775094067835,0.9749859177097502
160,0.286,0.0449888875,0.0936739659,1.9858223062,0.4870768025,0.246,0.0407921561,-0.1129888943,2.5224898299,0.8549437766,0.468,0.0318747549,-0.4838990426,1.7205344411,0.6269617454,0.468,0.0318747549,-0.4838990426,1.7205344411,0.6269617454,0.900035785675,0.8592302756085
161,0.246,0.0349857114,-0.6044776119,1.6280276817,0.3631734744,0.29,0.0141421356,-0.6666666667,1.7,-0.0,0.464,0.0407921561,-0.5777080063,2.3560697115,-0.9610162055,0.464,0.0407921561,-0.5777080063,2.3560697115,-0.9610162055,0.9568166973945,0.95350961485175
162,0.242,0.0479165942,-0.6683095121,1.3139712756,-0.2543618451,0.254,0.0382622529,-0.6785290629,1.247290155,0.2922025498,0.504,0.0508330601,-0.7766065964,1.9414592299,0.004019714,0.504,0.0508330601,-0.7766065964,1.9414592299,0.004019714,0.86778838941,0.8233969363505
163,0.228,0.0231516738,-0.6666666667,2.1988193362,-0.3365218792,0.256,0.024979992,-0.1080711354,2.5103550296,-1.0038803489,0.516,0.0287054002,-0.7325056433,1.8296257894,-0.4078932113,0.516,0.0287054002,-0.7325056433,1.8296257894,-0.4078932113,0.95655844812,0.9236321734219999
164,0.26,0.0141421356,0.6666666667,1.7,0.0,0.21,0.0303315018,-0.1666666667,3.1427221172,1.4191014536,0.53,0.0228035085,-0.3461538462,2.5,-0.6071940134,0.53,0.0228035085,-0.3461538462,2.5,-0.6071940134,0.8953164421310997,0.8949508481476502
165,0.204,0.0272763634,-0.5174129353,3.1437738467,-1.4286267334,0.388,0.0435430821,-0.7768595041,2.4805586712,-0.780254449,0.408,0.0348711915,-0.2870309414,2.3637898199,0.761826261,0.408,0.0348711915,-0.2870309414,2.3637898199,0.761826261,0.8496971893615001,0.8426888000365
166,0.244,0.0440908154,-0.7317574512,1.4918203526,0.3757676309,0.244,0.0326190129,-0.4652014652,2.4066086268,0.5061857103,0.512,0.0324961536,-0.277258567,2.2685950413,-0.1790421687,0.512,0.0324961536,-0.277258567,2.2685950413,-0.1790421687,0.8398498729130001,0.8252023050114999
167,0.244,0.0241660919,-0.5986394558,1.8297053856,0.1224403232,0.274,0.0621610811,-0.1272275176,2.5259249257,-0.9410533633,0.482,0.0587877538,0.1626673402,1.8060538837,0.6962428889,0.482,0.0587877538,0.1626673402,1.8060538837,0.6962428889,0.9566098399449998,0.9108642855205
168,0.248,0.0271293199,-0.7084078712,1.2562618147,-0.4495377033,0.214,0.0313687743,-0.385077187,1.7813801309,0.0171057167,0.538,0.0203960781,0.2105263158,1.3731508876,-0.1527442976,0.538,0.0203960781,0.2105263158,1.3731508876,-0.1527442976,0.7803028463199999,0.6908106842314998
169,0.26,0.0328633535,-0.32,2.4176954733,0.980490998,0.254,0.0392937654,-0.5239114918,1.9273134849,-0.3987501228,0.486,0.0195959179,-0.2218649518,2.4361979167,0.5677202789,0.486,0.0195959179,-0.2218649518,2.4361979167,0.5677202789,0.8921984738400001,0.8347459506569999
17,0.242,0.0337045991,-0.0867697595,1.2910632811,0.0150437112,0.266,0.0605309838,0.1700404858,2.3489874335,-0.674381253,0.492,0.0577581163,-0.5701260392,2.6365698808,1.0741895586,0.492,0.0577581163,-0.5701260392,2.6365698808,1.0741895586,0.8414360364704999,0.839327901124
170,0.2,0.0316227766,-0.6086956522,1.828,-0.3794733192,0.314,0.0257681975,-0.5685019206,1.2876324575,0.3955562318,0.486,0.0535163526,-0.7198419933,1.4671280547,-0.0206692945,0.486,0.0535163526,-0.7198419933,1.4671280547,-0.0206692945,0.902629218375,0.8260547407185002
171,0.248,0.0231516738,0.1743119266,1.3968589886,0.2436882574,0.248,0.0074833148,0.2028985507,1.8469387755,0.3436215967,0.504,0.0293938769,0.2390289449,1.2888374486,-0.1115122645,0.504,0.0293938769,0.2390289449,1.2888374486,-0.1115122645,0.9455045541899999,0.9097021492874999
172,0.278,0.0391918359,-0.0141381185,2.2225748698,0.1299696706,0.274,0.028,-0.3045851528,2.9376301541,-1.2332361516,0.448,0.0292574777,-0.4920486436,2.5670800943,0.6765584081,0.448,0.0292574777,-0.4920486436,2.5670800943,0.6765584081,0.928182093444,0.9183432245940001
173,0.254,0.01356466,-0.2443438914,2.3638941399,-0.7500308204,0.228,0.0172046505,-0.0553633218,2.6519357195,1.017952296,0.518,0.0172046505,-0.7065868263,1.9945215486,-0.3958703373,0.518,0.0172046505,-0.7065868263,1.9945215486,-0.3958703373,0.93980590171,0.9121574881604999
174,0.268,0.016,-0.5316901408,1.4189453125,0.03515625,0.256,0.047581509,-0.1970490243,1.2469939692,-0.1965011937,0.476,0.0542586399,-0.4145117715,1.3753322897,0.26413345,0.476,0.0542586399,-0.4145117715,1.3753322897,0.26413345,0.917767841395,0.8803893745204998
