Fold,SBS_Best_Models
0,MOEAD
1,MOEAD
2,MOEAD
3,MOEAD
4,COMOLSD
5,COMOLSD
6,MOEAD
7,COMOLSD
8,COMOLSD
9,COMOLSD
10,MOEAD
11,COMOLSD
12,COMOLSD
13,COMOLSD
14,COMOLSD
15,MOEAD
16,COMOLSD
17,COMOLSD
18,COMOLSD
19,MOEAD
20,COMOLSD
21,MOEAD
22,MOEAD
23,COMOLSD
24,COMOLSD
25,MOEAD
26,MOEAD
27,COMOLSD
28,MOEAD
29,MOEAD
30,MOEAD
31,COMOLSD
32,COMOLSD
33,MOEAD
34,MOEAD
35,MOEAD
36,COMOLSD
37,MOEAD
38,COMOLSD
39,COMOLSD
40,MOEAD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,MOEAD
45,COMOLSD
46,MOEAD
47,MOEAD
48,COMOLSD
49,COMOLSD
50,MOEAD
51,MOEAD
52,MOEAD
53,MOEAD
54,MOEAD
55,MOEAD
56,COMOLSD
57,COMOLSD
58,COMOLSD
59,COMOLSD
60,COMOLSD
61,MOEAD
62,COMOLSD
63,MOEAD
64,COMOLSD
65,MOEAD
66,MOEAD
67,COMOLSD
68,MOEAD
69,MOEAD
70,MOEAD
71,MOEAD
72,COMOLSD
73,MOEAD
74,COMOLSD
75,MOEAD
76,COMOLSD
77,MOEAD
78,COMOLSD
79,COMOLSD
80,COMOLSD
81,MOEAD
82,MOEAD
83,MOEAD
84,COMOLSD
85,MOEAD
86,COMOLSD
87,MOEAD
88,MOEAD
89,COMOLSD
90,MOEAD
91,COMOLSD
92,COMOLSD
93,COMOLSD
94,MOEAD
95,MOEAD
96,MOEAD
97,MOEAD
98,MOEAD
99,MOEAD
