r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.978,0.95,1.045,0.997,1.073,0.943
50%,1.03,1.099,0.987,1.05,1.097,0.899
25%,0.878,1.069,1.04,1.017,1.05,1.043
10%,0.914,1.076,1.043,1.052,1.089,0.983
5%,1.004,1.06,1.08,1.11,1.109,1.066
