r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.496,0.424,0.568,0.613,0.735,0.547
50%,0.598,0.551,0.6,0.579,0.615,0.574
25%,0.396,0.677,0.584,0.643,0.64,0.531
10%,0.418,0.576,0.574,0.629,0.533,0.441
5%,0.536,0.523,0.659,0.714,0.585,0.652
