r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.966,0.977,1.027,0.984,1.048,0.975
50%,1.025,1.057,1.006,1.037,1.076,0.929
25%,0.844,1.047,1.024,1.004,1.038,0.987
10%,0.968,1.06,1.055,1.048,1.044,0.979
5%,0.987,1.071,1.076,1.07,1.071,1.062
