r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,1.31627e-05,1.00119e-05,8.9453e-06,7.6149e-06,8.2687e-06,0.0000079251
50%,6.3821e-06,8.2707e-06,6.0966e-06,6.9788e-06,6.9818e-06,0.0000092845
25%,8.2533e-06,8.2631e-06,9.6544e-06,6.0963e-06,1.11617e-05,0.0000060966
10%,1.19359e-05,5.2555e-06,8.2557e-06,8.6126e-06,9.2976e-06,0.0000079233
5%,7.9252e-06,7.6155e-06,9.6526e-06,8.6076e-06,1.11544e-05,0.0000096701
