Instance, HV_MOEA_D, HV_COMOLS_D, EPS_MOEA_D, EPS_COMOLS_D, IGD_MOAE_D, IGD_COMOLS_D, Mann Whit Test
172     ,    0.9187,      0.8781,     0.8432,       0.8060,     0.7679,       0.7360, HV: 1 = 2 | EPS: 1 = 2
240     ,    0.8738,      0.8717,     0.8268,       0.8219,     0.6880,       0.6870, HV: 1 = 2 | EPS: 1 = 2
456     ,    0.9127,      0.9096,     0.8393,       0.8376,     0.7815,       0.7805, HV: 1 = 2 | EPS: 1 = 2
A       ,    0.8052,      0.8042,     0.7334,       0.7327,     0.6863,       0.6859, HV: 1 = 2 | EPS: 1 = 2
