Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 34440 | GridSize: 221
Generation 2 | Revalues: 38660 | GridSize: 236
Generation 3 | Revalues: 41160 | GridSize: 255
Generation 4 | Revalues: 44550 | GridSize: 268
Generation 5 | Revalues: 49650 | GridSize: 223
Generation 6 | Revalues: 51220 | GridSize: 254
Generation 7 | Revalues: 53320 | GridSize: 269
Generation 8 | Revalues: 55010 | GridSize: 282
Generation 9 | Revalues: 56550 | GridSize: 290
Generation 10 | Revalues: 58450 | GridSize: 294
Generation 11 | Revalues: 60610 | GridSize: 299
Generation 12 | Revalues: 61850 | GridSize: 300
Generation 13 | Revalues: 63960 | GridSize: 300
Generation 14 | Revalues: 67410 | GridSize: 289
Generation 15 | Revalues: 69980 | GridSize: 278
Generation 16 | Revalues: 73160 | GridSize: 283
Generation 17 | Revalues: 74850 | GridSize: 290
Generation 18 | Revalues: 77740 | GridSize: 296
Generation 19 | Revalues: 79590 | GridSize: 289
Generation 20 | Revalues: 81080 | GridSize: 299
Generation 21 | Revalues: 83060 | GridSize: 299
Generation 22 | Revalues: 85490 | GridSize: 286
Generation 23 | Revalues: 86940 | GridSize: 286
Generation 24 | Revalues: 89020 | GridSize: 295
Generation 25 | Revalues: 90560 | GridSize: 300
Generation 26 | Revalues: 92090 | GridSize: 292
Generation 27 | Revalues: 93490 | GridSize: 299
Generation 28 | Revalues: 94570 | GridSize: 300
Generation 29 | Revalues: 95860 | GridSize: 293
Generation 30 | Revalues: 97480 | GridSize: 297
Generation 31 | Revalues: 98750 | GridSize: 295
Generation 32 | Revalues: 100240 | GridSize: 287
Generation 33 | Revalues: 101270 | GridSize: 299
Generation 34 | Revalues: 102780 | GridSize: 300
Generation 35 | Revalues: 104390 | GridSize: 298
Generation 36 | Revalues: 105520 | GridSize: 300
Generation 37 | Revalues: 106680 | GridSize: 299
Generation 38 | Revalues: 108300 | GridSize: 298
Generation 39 | Revalues: 109470 | GridSize: 300
Generation 40 | Revalues: 111410 | GridSize: 296
Generation 41 | Revalues: 112790 | GridSize: 298
Generation 42 | Revalues: 114050 | GridSize: 300
Generation 43 | Revalues: 115370 | GridSize: 300
Generation 44 | Revalues: 116470 | GridSize: 300
Generation 45 | Revalues: 118130 | GridSize: 295
Generation 46 | Revalues: 119380 | GridSize: 299
Generation 47 | Revalues: 120510 | GridSize: 300
Generation 48 | Revalues: 121540 | GridSize: 300
Generation 49 | Revalues: 122770 | GridSize: 300
Generation 50 | Revalues: 123840 | GridSize: 300
Generation 51 | Revalues: 125100 | GridSize: 299
Generation 52 | Revalues: 126520 | GridSize: 300
Generation 53 | Revalues: 128040 | GridSize: 298
Generation 54 | Revalues: 129620 | GridSize: 299
Generation 55 | Revalues: 130760 | GridSize: 300
Generation 56 | Revalues: 131980 | GridSize: 300
Generation 57 | Revalues: 133500 | GridSize: 293
Generation 58 | Revalues: 135130 | GridSize: 300
Generation 59 | Revalues: 136880 | GridSize: 299
Generation 60 | Revalues: 138820 | GridSize: 292
Generation 61 | Revalues: 139980 | GridSize: 300
Generation 62 | Revalues: 141540 | GridSize: 300
Generation 63 | Revalues: 142680 | GridSize: 300
Generation 64 | Revalues: 143740 | GridSize: 294
Generation 65 | Revalues: 145080 | GridSize: 300
Generation 66 | Revalues: 146290 | GridSize: 296
Generation 67 | Revalues: 147520 | GridSize: 300
Generation 68 | Revalues: 148860 | GridSize: 298
Generation 69 | Revalues: 150040 | GridSize: 300
Generation 70 | Revalues: 151400 | GridSize: 294
Generation 71 | Revalues: 152550 | GridSize: 300
Generation 72 | Revalues: 153920 | GridSize: 300
Generation 73 | Revalues: 155270 | GridSize: 297
Generation 74 | Revalues: 156480 | GridSize: 299
Generation 75 | Revalues: 157570 | GridSize: 300
Generation 76 | Revalues: 159100 | GridSize: 295
Generation 77 | Revalues: 160470 | GridSize: 298
Generation 78 | Revalues: 161870 | GridSize: 300
Generation 79 | Revalues: 163070 | GridSize: 295
Generation 80 | Revalues: 164640 | GridSize: 290
Generation 81 | Revalues: 166090 | GridSize: 300
Generation 82 | Revalues: 167320 | GridSize: 295
Generation 83 | Revalues: 168500 | GridSize: 296
Generation 84 | Revalues: 169740 | GridSize: 299
Generation 85 | Revalues: 170870 | GridSize: 292
Generation 86 | Revalues: 172030 | GridSize: 297
Generation 87 | Revalues: 173410 | GridSize: 299
Generation 88 | Revalues: 174580 | GridSize: 300
Generation 89 | Revalues: 175900 | GridSize: 300
