Instance,SBS_Prediction
71,0.8017642558630003
129,0.7291546855170005
22,0.7074196266568004
183,0.8727327749852717
429,0.8009782763029502
64,0.7944530609694996
481,0.7941920704841502
241,0.7896408749397501
281,0.79254308655245
84,0.7952115941385002
161,0.7952916149447001
103,0.7883591423613496
209,0.7905605039797503
206,0.8034133353000504
244,0.7979021523742494
336,0.7969969834636998
331,0.8044689087795
0,0.7896042877721001
261,0.7971908716288002
504,0.7904806787876002
407,0.8049407836564499
440,0.8024192328341501
230,0.8103870538939002
430,0.7975537846307502
A,0.7947211554347499
357,0.8041415743524505
202,0.7945573486495999
345,0.79699385485885
232,0.7959416735305505
127,0.8046655606852
20,0.8060501920842
387,0.8009121875437999
67,0.8075473375938502
502,0.7941869055471501
94,0.7928493011276504
74,0.7978555613422499
23,0.8022784945388501
156,0.8051261377643505
394,0.8014010482870504
121,0.8057797914248996
242,0.7900496506086503
80,0.8079642708688998
11,0.79029976635815
59,0.7953941833813002
179,0.80294899138925
427,0.8000870220463498
340,0.7890346155875997
137,0.7862498264227
366,0.7846993881751999
322,0.8043434810433006
81,0.7974021185626
237,0.8000210605762501
69,0.79758180716095
239,0.7991616517216501
497,0.8031837936019001
