r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.969,0.977,1.04,0.974,1.061,0.988
50%,1.049,1.056,1.011,1.028,1.071,0.91
25%,0.858,1.051,1.025,1.002,1.034,1.0
10%,0.971,1.065,1.047,1.03,1.06,0.972
5%,0.988,1.048,1.07,1.069,1.053,1.049
