Feature,Importance
IND_avg,0.19163104227972735
INC_sk,0.17833352066686903
IND_kr,0.11471363417098315
IND_sd,0.10524942490874807
INF_sd,0.09060391960877104
INC_r1,0.07826976570884214
INC_kr,0.04843343144413769
INC_sd,0.04310707557128585
INC_avg,0.04019871620093885
SUP_avg,0.02094590083265818
INF_r1,0.0179374669820465
SUP_sd,0.011689622033800013
SUP_sk,0.011561523244494856
INF_kr,0.010349536626070093
SUP_kr,0.00948973971021935
IND_r1,0.00904461667681
IND_sk,0.008270762601266487
INF_sk,0.005323600972216858
SUP_r1,0.0032757230563972405
INF_avg,0.0015709767037174567
