r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.864,0.741,0.958,0.968,1.021,0.981
50%,1.044,1.051,0.983,0.984,1.054,0.799
25%,0.591,1.042,1.037,1.152,1.091,0.923
10%,0.901,0.952,1.021,1.125,1.17,0.862
5%,0.727,1.045,1.029,1.136,1.091,1.082
