r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,8.5951e-06,1.0009e-05,9.6449e-06,9.6505e-06,1.00146e-05,0.0000063783
50%,1.23404e-05,7.2941e-06,8.6035e-06,7.9294e-06,1.11488e-05,0.0000127441
25%,1.00051e-05,8.6e-06,8.9412e-06,8.9464e-06,8.2662e-06,0.0000082615
10%,6.0903e-06,9.2948e-06,6.6767e-06,8.2688e-06,5.5327e-06,0.0000085875
5%,7.2858e-06,6.3832e-06,1.03848e-05,1.07635e-05,8.944e-06,0.0000086150
